Video title: Deze adembenemende nieuwe dingen kan ChatGPT nu ｜ ✨ Poki
Youtube video code: 1uKHG0p8f_s
Last modified time: 2024-05-14 18:27:38

------------------ 

[0.00 --> 7.00]  MUZIEK
[142.60 --> 144.12]  In ieder geval, veel plezier.
[144.92 --> 147.26]  Je vroeg vorige week kunnen we de podcast verplaatsen.
[147.42 --> 149.08]  En ik had opmerkt, ik zei niet helemaal door waarom.
[149.84 --> 150.60]  En nu wel.
[151.36 --> 152.44]  Dus bedankt daarvoor.
[152.74 --> 154.22]  Ben je ook blij dat we hem hebben verplaatst?
[154.60 --> 159.60]  Omdat de GPT-4 aankondiging, ja maar ik wist dat OpenAI een aankondiging zou gaan doen.
[159.60 --> 160.84]  En ze zaten het ook te hypen.
[161.36 --> 167.46]  Dus ik dacht nou, je gaat het niet hypen als er niet iets daadwerkelijk fatsoenlijks is als OpenAI.
[167.60 --> 170.38]  Want ze hebben veel te veel te verliezen als ze zoiets hypen.
[171.06 --> 175.02]  Het was het wel waard zeg maar om de opname een dagje uit te stellen.
[175.38 --> 178.60]  Ik denk dat ik wat teruggetrokken wat we hadden opgenomen in de dag te worden.
[179.12 --> 180.38]  Ja, dus ik ben blij.
[180.82 --> 185.08]  Ja, dus het is weer ontploft in de wereld van AI.
[185.08 --> 188.22]  En deze week kwam GPT-4-O uit.
[188.32 --> 189.38]  O staat voor Omni.
[189.88 --> 196.86]  Het is dezelfde trainingsset, maar deze versie van GPT-4 is sneller, goedkoper, multimodaal.
[197.02 --> 199.16]  En beschikbaar voor alle mensen.
[199.38 --> 202.60]  Namelijk ook de mensen die het tot nu toe niet betalen voor Chachipetie.
[202.70 --> 204.36]  Dat is natuurlijk het grootste deel van de wereldbevolking.
[204.50 --> 208.18]  Dus al die mensen die tot nu toe Chachipetie gratis hebben gebruikt.
[208.28 --> 213.04]  En nu voor het eerst, nou ja, dus nu Chachipetie weer eens gaan proberen.
[213.04 --> 218.22]  Die zullen versteld staan van hoeveel beter dit voelt.
[219.22 --> 220.92]  Dus dat is groot nieuws.
[221.00 --> 223.56]  Dat ze het eigenlijk gewoon gedemocratiseerd hebben.
[224.34 --> 226.22]  Maar er zijn heel veel dingen om over te praten.
[226.44 --> 228.90]  En dat gaan we ook doen in deze aflevering.
[229.16 --> 230.10]  Waar wil je beginnen?
[230.30 --> 233.52]  Want er is een hele lange lijst van dingen waar we op in kunnen gaan.
[233.52 --> 236.74]  Ja, nou, dan begin ik bij het meest saaie.
[237.42 --> 238.72]  Dan wordt het steeds leuker.
[239.08 --> 242.56]  Ik zag Memory langskomen als feature van GPT-4O.
[242.84 --> 244.78]  En toen dacht ik, Memory, was dat er al?
[244.90 --> 245.92]  Toen ben ik even gaan zoeken.
[246.08 --> 248.30]  Toen dacht, dat hebben ze in februari al aangekondigd.
[248.52 --> 254.62]  Dat jouw Chachipetie of jouw account bij OpenAI ook de mogelijkheid heeft om Memory te hebben.
[254.62 --> 257.52]  Als in dat ze weten wat je favoriete kleur is.
[258.30 --> 260.22]  En dat ze weten wat je favoriete eten is.
[260.32 --> 261.66]  Als je dat een keer hebt besproken.
[261.66 --> 265.06]  Net als dat wij allebei geheugen hebben over elkaar.
[265.30 --> 267.26]  Dat ik een klein beetje weet wat jij leuk vindt en niet.
[267.78 --> 268.88]  Dat dat erin zat.
[269.06 --> 271.50]  Maar dat was een kleine regionale uitrol.
[271.86 --> 276.04]  En ik heb toen nooit meer een update gehad of gezien over we gaan hem helemaal uitrollen.
[276.52 --> 280.38]  En ik kreeg het idee dat Memory nu gewoon standaard meegeleverd wordt.
[280.68 --> 282.18]  En ik snap wel waarom.
[282.18 --> 285.44]  Want je hebt Memory eigenlijk nodig om dit te kunnen.
[285.80 --> 287.20]  Wat ze nu hebben gelanceerd.
[287.84 --> 289.76]  Iets wat dichter bij de film Heur komt.
[289.76 --> 290.80]  Oh ja.
[290.98 --> 293.18]  Mijn idee is dat ze het niet in Europa gelanceerd hebben.
[293.30 --> 295.94]  En dat is zoals ik het tot nu toe gebruik ook nog steeds niet.
[296.10 --> 298.80]  Als ik mijn VPN aanzet op Amerika dan doet Memory het.
[298.88 --> 300.00]  En als je in Europa bent dan doet het niet.
[300.00 --> 300.40]  Ah oké check.
[300.98 --> 304.26]  Dus ik neem aan dat het een van de privacy regelgeving EU ding is.
[304.86 --> 305.06]  Ja.
[305.40 --> 306.46]  Dat bedoelt dat daar.
[307.24 --> 310.44]  Het kan de case study feature zijn voor het schrijven van dit soort wetten natuurlijk.
[310.44 --> 312.84]  Wil je dat een AI kan onthouden wie jij bent.
[313.16 --> 313.24]  Ja.
[313.24 --> 314.56]  Nee blijkbaar in de EU.
[314.86 --> 315.02]  Ja.
[315.20 --> 316.70]  Maar dat viel me even op.
[316.84 --> 319.08]  Maar goed dat is nog een klein detail in.
[319.80 --> 321.78]  Ik ben nog een beetje aan het bijkomen als ik heel eerlijk ben.
[322.30 --> 324.68]  Want ook al zitten wij het hier met z'n tweeën hard op te fantaseren.
[325.06 --> 327.04]  De hele week ben ik dan toch wel weer.
[327.40 --> 329.16]  Er staan zoveel video's ook in dat blog.
[329.42 --> 331.68]  Van ieder video's heb ik weer vragen bij.
[331.82 --> 332.28]  Dus ik ben nog.
[332.58 --> 335.42]  Ik weet niet of je het ooit gestructureerd gaat kregen in deze aflevering.
[335.62 --> 336.12]  Maar het wordt een beetje.
[336.12 --> 337.68]  Nou laten we beginnen dan.
[337.74 --> 338.94]  Dan doe ik wel een aanzetje.
[339.02 --> 340.62]  Laten we beginnen bij de snelheid.
[340.74 --> 343.16]  Want we hebben regelmatig gepraat in deze podcast.
[343.44 --> 345.86]  Over dat we taalmodellen te traag vinden.
[346.00 --> 348.26]  En dat het zo fijn is als er dan een nieuw taalmodel is.
[348.68 --> 351.86]  Bijvoorbeeld Lama 3 via Grock.
[352.24 --> 354.76]  Dat het opeens allemaal in één keer op je scherm staat.
[355.00 --> 358.22]  En dat dat een heel andere ervaring is dan kijken naar een cursor.
[358.22 --> 365.08]  Die zich als verf die droogt aan de muur traag vooruit streamt om teksten te lezen.
[365.08 --> 368.74]  Dat je vaak in communicatie met chatbots toch vooral zit te wachten.
[369.00 --> 372.64]  En dat dat niet helpt als je samen wil werken met AI.
[373.10 --> 376.26]  Maar dat de GPT-4 al nu supersnel is.
[376.42 --> 378.70]  En dat is wel echt een andere ervaring hoor.
[378.96 --> 380.30]  Dat is echt heel erg tof.
[380.94 --> 385.60]  Die tijd is gewoon weg dat je moet wachten voordat hij een antwoord geeft.
[386.28 --> 388.22]  Ja en het vet is dus ook dat ze...
[388.22 --> 389.60]  Daar hebben wij het eerder al eens over gehad.
[389.68 --> 391.72]  En toen kwamen we daar ook niet uit dat jij aan mij vroeg.
[392.62 --> 394.94]  Zijn het nou allemaal aan elkaar geschakelde systemen?
[394.94 --> 395.64]  Dus ik praat.
[395.74 --> 397.88]  Dan moet het eerst omgezet worden met whisper naar tekst.
[398.04 --> 398.32]  En dan...
[398.32 --> 399.76]  Nou, dit was dus zo.
[399.84 --> 401.66]  Want dit hebben ze letterlijk verteld als...
[401.66 --> 402.34]  Dit is hoe het was.
[402.52 --> 403.68]  En vandaag wordt het anders.
[404.34 --> 407.74]  Want die drie stappen van speech to text.
[407.84 --> 409.00]  En dan tekst in het taalmodel.
[409.08 --> 409.60]  En dan weer terug.
[410.04 --> 411.06]  Dat is nu één ding.
[411.24 --> 412.30]  Want als jij begint te praten.
[412.38 --> 416.14]  Dan komen er eigenlijk stukjes audio token binnen in het model.
[416.54 --> 417.94]  Die dan meteen weer als audio terugkomen.
[419.02 --> 420.24]  En dat klinkt misschien een beetje vaag.
[420.24 --> 426.26]  Maar het houdt gewoon in dat die tussenlagen, die proxies of tolken die er tussen zaten eigenlijk allemaal weg zijn nu.
[426.48 --> 428.16]  Ja, je hebt het nu over voice chat.
[428.28 --> 430.04]  Dat is inderdaad ook erbij gekomen.
[430.16 --> 431.86]  Dus niet alleen tekst komt sneller op je scherm.
[432.02 --> 433.76]  Maar ook de snelheid ermee.
[433.76 --> 439.06]  Ja, de stem die praat terugkomt als je de audioversie aanzet van ChatGPT.
[439.26 --> 440.90]  Die is ook sneller geworden.
[441.04 --> 443.52]  Dus die hele latency die we hadden.
[443.90 --> 446.20]  Als je praat met ChatGPT, met je stem.
[446.84 --> 449.80]  Waarbij je eerst drie seconden moet wachten voordat dat ding antwoordde.
[450.28 --> 450.92]  Die is weg.
[451.16 --> 454.92]  Er is opeens normaal menselijk contact wat je kan hebben.
[455.04 --> 458.20]  Omdat dat ding gelijk begint terug te praten als jij klaar bent met je zin.
[458.20 --> 464.22]  Ja, en het doet me ook denken dat ik zit, het is ook een soort, daarom stotter ik een beetje.
[464.38 --> 468.64]  Omdat ik zoiets heb, ik moet ook even opnieuw gaan zitten en denken, wacht even.
[469.06 --> 475.56]  Dit doet me ook denken dat ik in de bus in India zat en dat meerdere mensen om me heen constant WhatsApp voice messages heen en weer aan het sturen waren.
[475.66 --> 476.38]  Zonder ooit te typen.
[476.56 --> 477.98]  Dat is gewoon, dat is anekdote.
[478.16 --> 481.68]  Maar ik denk dat ik daar wel iets heb gezien wat breder zo is.
[481.68 --> 489.34]  En ik zelf, want wij in die short messaging en sms cultuur zijn opgegroeid heel erg die apparaten veel meer vanuit tekst gebruiken.
[489.64 --> 491.82]  Dat denk ik, kan ook verder nog een cultuur ding zijn.
[491.94 --> 494.34]  Maar ik ben nog steeds best wel veel tekstberichtjes aan het sturen.
[494.48 --> 495.98]  Ik heb jou net nog een tekstberichtje gestuurd.
[496.22 --> 498.58]  Ik had ook heel kort iets in kunnen spreken, maar dat doe ik niet.
[499.34 --> 501.34]  Maar er zijn dus genoeg mensen die dat wel doen.
[501.70 --> 507.00]  En dat ik nu ook merkte van, het is nu niet stiekem alsnog een chatbot.
[507.56 --> 510.94]  Dat klinkt misschien een beetje gek, maar dit is echt wel iets anders aan het worden nu.
[510.94 --> 515.90]  Omdat het dus zo'n omnimodel is, waarbij in essentie audio in, audio uit is.
[516.46 --> 518.30]  Dus er is eigenlijk nooit tekst.
[518.40 --> 519.22]  Er is alleen wiskunde.
[519.56 --> 520.88]  Dat is er altijd, vooralsnog.
[521.76 --> 522.16]  Ja precies.
[522.22 --> 526.26]  Jij zegt eigenlijk hiervoor was die stem, die werd eerst vertaald naar tekst.
[526.80 --> 528.80]  Daar maakte die dan weer een slag overheen.
[529.24 --> 530.24]  Dan moest die weer gaan.
[530.24 --> 530.56]  Weer tekst.
[530.74 --> 531.40]  Weer tekst.
[531.48 --> 535.04]  Dus het ging de hele tijd tussen allerlei, nou ja, verschillende communicatielagen.
[535.16 --> 536.10]  Waardoor het trager was.
[536.22 --> 538.12]  En nu is het één multimodal model geworden.
[538.12 --> 541.02]  Waardoor hij audio gewoon kan interpreteren als audio.
[541.18 --> 545.54]  En het ook in één keer terug kan brengen zonder het eerst in tekst getransformeerd te moeten hebben.
[545.60 --> 547.36]  En hoe zei je dat bijvoorbeeld dan?
[547.48 --> 548.48]  Zit ik nu meteen te denken.
[548.88 --> 550.44]  Ik heb dit nog niet in de video's gezien.
[550.90 --> 553.00]  Want voor zover ik weet is het nog niet publiek toch?
[553.08 --> 554.04]  We zijn aan het uitrollen.
[554.20 --> 554.76]  Ik zag het model.
[554.76 --> 558.92]  Die voice chat heb ik ook nog geen toegang toe.
[559.04 --> 559.58]  Nee, toch?
[560.06 --> 560.98]  Nee, want die...
[560.98 --> 563.54]  Maar het zou dan misschien zo kunnen zijn, omdat hij ook kan zingen.
[564.08 --> 564.48]  Casual.
[564.72 --> 567.72]  Daarom zei ik net van ik ben echt aan het verwerken nog wat ik net allemaal heb zien gebeuren.
[567.78 --> 570.66]  Want er zijn ook duetjes gedaan tussen twee iPhones.
[571.04 --> 572.04]  Met tweede stemmen.
[572.28 --> 573.48]  En echt ongelooflijk.
[573.48 --> 579.90]  Dat ik me kan voorstellen dat het mogelijk zou moeten zijn om een melodie te neurien.
[580.74 --> 584.84]  En dan te vragen, oké, hoe denk je dat ik me voel aan de hand van die melodie?
[584.96 --> 587.50]  En dan, ik wil dat je dat naar me terug neuriet of zo.
[587.60 --> 587.80]  Snap je?
[587.86 --> 590.98]  Ik zit een beetje te zoeken naar een manier om tekst als het ware over te slaan.
[592.34 --> 593.86]  Want dit is echt wel heel boeiend hoor.
[594.32 --> 595.32]  Of heel visueel.
[595.42 --> 598.88]  Dus je laat steeds wat zien en zeg je antwoord in tekeningen.
[598.88 --> 603.86]  Dat heb ik eigenlijk nog niet gedemo'd gezien.
[604.26 --> 608.24]  Dat je echt de kracht laat zien van wat er gebeurt als je dus al die tussenstappen weghaalt.
[608.32 --> 609.70]  Want nu is het de kracht vooral latency.
[610.06 --> 610.90]  Super belangrijk.
[611.36 --> 614.44]  Die antwoorden komen gewoon gigantisch snel binnen omdat je al die tussenstapjes niet hebt.
[614.96 --> 618.34]  Maar ik kan me ook voorstellen dat we veel breder kunnen gaan dan...
[618.34 --> 621.96]  Eigenlijk op de achtergrond is het stiekem toch nog tekstparadigma, zeg maar.
[623.86 --> 625.06]  Zingen samen met je en jij.
[625.72 --> 627.24]  Ja, want dat zingen is één ding.
[627.24 --> 632.56]  Maar er zijn meer soort van menselijk-achtige elementen toegevoegd aan die stem.
[632.70 --> 634.34]  Hij is veel emotioneeler.
[634.72 --> 639.20]  Je kan ook aan dat ding vragen om in een bepaalde toon met je te praten.
[639.74 --> 640.54]  En dan doet hij dat.
[640.74 --> 642.84]  En het is ook een unkennies vak.
[643.50 --> 647.04]  Want ik heb filmpjes gezien waarin hij gevraagd wordt om sarcastisch te praten.
[647.16 --> 648.78]  Nou, dat kan het ding echt heel erg goed.
[649.86 --> 655.44]  Niet alleen sneller en langzamer, maar ook nog met de gewenste emotie die je op dat moment wenst.
[655.44 --> 658.46]  Van je virtuele chatbotpartner.
[659.14 --> 660.06]  Dus dat is een ding.
[660.76 --> 664.44]  Het is meer dan ooit her in de zin dat het...
[665.08 --> 669.44]  Ja, het is het fijnst emotionele intelligentie.
[670.70 --> 671.52]  En dat is echt...
[671.52 --> 673.22]  Het is zo unkennie om naar te kijken.
[673.30 --> 674.76]  Dat je dus de combinatie hebt van...
[674.76 --> 676.40]  En de snelheid.
[677.78 --> 683.00]  Waardoor dat ding kan terugpraten zoals een mens dat kan met de snelheid van een normaal menselijk gesprek.
[683.42 --> 685.84]  Plus die emotie die er opeens in ligt.
[685.94 --> 689.54]  Dat het ding kan lachen, zuchten, verdrietig kan klinken.
[689.96 --> 692.16]  Wat dan ook past bij dat gesprek.
[692.80 --> 693.68]  En nog een ander ding.
[693.82 --> 695.86]  Dat je het kan onderbreken.
[696.38 --> 698.76]  Dus dat als jij begint dat in een gesprek...
[698.76 --> 702.06]  Ja, is het in normaal menselijk contact ook normaal dat je elkaar kan onderbreken.
[702.06 --> 704.06]  En dat kan hier opeens.
[704.16 --> 707.16]  Dat ding houdt in één keer zijn mond als je een zin begint.
[707.54 --> 710.24]  Dwars door haar heen.
[710.94 --> 712.46]  En dat...
[712.46 --> 715.06]  Ja, dat soort van de combinatie van die dingen...
[716.10 --> 718.12]  Op papier lijkt het simpel.
[718.20 --> 720.24]  Maar als je dat in het echt ziet gebeuren...
[720.24 --> 721.92]  Dat is echt bizar.
[722.38 --> 723.28]  Het is echt bizar.
[723.38 --> 725.06]  En ik denk dat de...
[725.76 --> 727.06]  Ik bedoel...
[727.06 --> 729.56]  De enige reden dat ik er niet nog heftiger op reageer...
[729.56 --> 732.94]  Omdat ik al emotioneel voorbereid ben door onze gesprekken.
[733.16 --> 735.10]  En veel sci-fi heb gezien.
[735.66 --> 738.40]  Waardoor het niet helemaal landt dat het echt echt is.
[739.40 --> 741.04]  Wat ik heel gaaf vond om te zien...
[742.16 --> 743.54]  Ze hebben de live demos gedaan.
[744.10 --> 745.02]  Altijd spannend natuurlijk.
[745.86 --> 748.04]  En dan gaan ze een soort van praten ook met...
[748.04 --> 749.20]  Met ja, dat ding...
[749.20 --> 751.34]  We moeten nog even wennen hoe we dit dan nu gaan noemen allemaal.
[751.56 --> 754.72]  Maar in dit geval was het een synthetische vrouw.
[754.72 --> 756.56]  Waarmee ze aan het praten waren binnen die app.
[757.80 --> 758.72]  En dat ze...
[759.24 --> 760.72]  Omdat die natuurlijk stopt als jij gaat praten...
[761.38 --> 763.56]  Ging het publiek iedere keer klappen en zo.
[763.74 --> 764.90]  Waardoor ze stopten met praten.
[765.34 --> 766.44]  Waardoor het mislukte eigenlijk.
[766.56 --> 767.64]  De demo was niet de demo.
[767.72 --> 768.60]  Zoals die was voorbereid.
[768.66 --> 769.16]  Dat zag ik.
[769.54 --> 770.72]  Maar ik zag...
[771.80 --> 772.64]  Maar toen dacht ik...
[772.64 --> 774.16]  Ja, maar dit is ook wel weer sterk.
[774.44 --> 776.44]  Want op een bepaalde manier laat het zien dat het dus een...
[776.44 --> 777.60]  Een echte demo is.
[777.64 --> 778.96]  Dat weten we tegenwoordig niet meer zo goed.
[779.08 --> 781.10]  Omdat Google natuurlijk al een paar geintjes heeft geflikt.
[781.20 --> 783.64]  En het gebeurt wel vaker dat het van die half live demos zijn.
[783.64 --> 786.30]  Dus ik vond eigenlijk die quirkiness wel grappig.
[786.94 --> 789.90]  En ik las ook een reactie van iemand die zei...
[789.90 --> 791.06]  Ja, eerlijk.
[792.06 --> 793.54]  Het is zo iets bizars dit.
[794.08 --> 795.48]  En het is zo'n grote stap weer.
[795.90 --> 798.38]  Dat zelfs een crappy demo doet er eigenlijk niet echt toe.
[798.52 --> 801.90]  Want in dit geval ging het ongeveer de helft van de tijd...
[801.90 --> 803.70]  Nou ja, goed.
[804.02 --> 805.52]  Een kwart heel goed.
[805.62 --> 807.06]  Dat het gewoon net op zijn plek viel allemaal.
[807.18 --> 809.42]  Qua kuchjes en grapjes en links en rechts.
[809.42 --> 811.58]  En een kwart was meh dat je dacht...
[811.58 --> 814.98]  Ah shit, het is toch stotteren, stoppen, woordenraar...
[814.98 --> 817.18]  Melodiekjes op de achtergrond die ineens werden gehallucineerd.
[817.26 --> 818.70]  Er zitten ook audio hallucinaties in.
[818.98 --> 821.26]  Dat is trouwens ook iets wat weer bewijst...
[821.26 --> 822.54]  Dat het stiekem geen tekst is.
[822.58 --> 824.62]  Want er zitten een soort van rare geluiden omheen.
[824.72 --> 827.10]  Alsof het een slechte compressie is van audio.
[827.96 --> 828.74]  Heel interessant.
[828.74 --> 830.06]  Ja.
[830.58 --> 830.80]  Ja.
[831.14 --> 833.08]  Maar het moment dat dat ding...
[833.08 --> 835.30]  Een soort van met mensen...
[835.30 --> 836.86]  Ik had één filmpje te kijken.
[836.96 --> 837.88]  Die vond ik het bizarste.
[837.98 --> 839.28]  Er zaten twee mensen aan tafel.
[839.40 --> 840.98]  En dan die iPhone lag op tafel.
[842.04 --> 845.30]  En die waren aan het geinen met die AI.
[846.04 --> 847.30]  En die...
[847.30 --> 851.32]  In het Engels heb je zo'n woord banter.
[851.52 --> 855.04]  Dus dat ze met elkaar kletsen op een manier dat er heel veel flow in zit.
[855.70 --> 857.02]  En dat deed dat ding.
[857.94 --> 859.12]  Het was...
[859.12 --> 861.38]  Ze waren echt hardop aan het lachen, die twee mensen.
[861.68 --> 863.50]  Die chatbot die lachte mee.
[863.66 --> 867.48]  Er zat een grinik in de stem die dat ding uitte.
[867.62 --> 869.28]  Het ging gewoon mee in de vibe.
[869.66 --> 871.10]  Ik kan niet anders uitleggen dan dat.
[871.42 --> 871.74]  Ja, zeker.
[871.74 --> 873.04]  Het is zo bizar.
[873.58 --> 873.74]  Nou.
[874.40 --> 874.68]  Ja, sorry.
[874.68 --> 875.56]  Jij noemt het...
[875.56 --> 877.76]  Ik heb van jou geleerd praatpalen.
[878.10 --> 880.26]  Die Echo's en Google die dingetjes.
[880.46 --> 881.92]  Die dots, weet ik vooral die apparaatjes.
[882.02 --> 883.64]  Ik heb zelf geen smart speaker thuis.
[883.82 --> 884.08]  Prima.
[884.08 --> 886.26]  Het zit waarschijnlijk ergens in waar ik het heb uitgezet.
[886.34 --> 886.90]  Laat ik het zo zeggen.
[886.98 --> 887.64]  Met tv of zo.
[888.28 --> 890.40]  Maar dit is, zeg maar...
[890.40 --> 892.96]  Ik was gisteravond Weerwolf aan het spelen met mijn familie.
[894.02 --> 896.54]  We hadden eigenlijk iemand nodig die de verhalenverteller was.
[896.56 --> 897.26]  Ja, ja, ja.
[897.26 --> 899.90]  En dit is nog voordat ik al deze dingen had gezien.
[900.06 --> 901.04]  Dat zag ik pas een uur later.
[901.04 --> 902.42]  Maar toen dacht ik, ja, maar...
[902.42 --> 903.92]  Spellen spelen met elkaar.
[904.86 --> 906.28]  Met een groep vrienden.
[906.46 --> 909.82]  Een bekende cabaretje uitnodigen synthetisch die de groep gaat roosten.
[910.72 --> 911.34]  Weet je wel?
[911.44 --> 913.06]  Want hier zijn geen robots voor nodig hoor.
[913.06 --> 914.06]  Zo'n spiekertje is genoeg.
[914.16 --> 917.40]  Als het leuk genoeg klinkt, dan is dat al lang...
[917.40 --> 919.92]  Ja, dus mijn hoofd ontploft alweer bij...
[919.92 --> 922.26]  Ik moet zeggen dat ik het gaaf vind om te zien...
[922.26 --> 923.44]  Wat OpenerJij ook...
[923.44 --> 925.82]  Heeft dus heel veel van dit soort dingen laten zien ook in die filmpjes.
[925.92 --> 929.56]  Die soort van half net niet goed opgenomen filmpjes...
[929.56 --> 932.34]  Waardoor door de juiste soort authenticiteit ontstaan.
[932.48 --> 934.66]  Camera's komen soms in beeld, microfoonen kraken.
[934.82 --> 935.28]  Helemaal goed.
[935.92 --> 936.82]  Mooie stijl.
[937.68 --> 939.94]  Een van de video's ook die erin is...
[939.94 --> 942.12]  Salman Khan van Khan Academy.
[943.62 --> 947.90]  Salman, die samen met zijn zoon gaat praten met een iPad...
[947.90 --> 949.20]  Wiskunde uit te leggen.
[949.78 --> 951.50]  En daarin wordt ook even casual.
[951.62 --> 953.12]  Ik had het helemaal gemist in de presentatie.
[953.30 --> 955.06]  Maar ze zetten dan die app naast die andere app.
[955.32 --> 956.04]  Multitasking, prima.
[957.28 --> 958.90]  En dan doe even mijn scherm meekijken.
[959.84 --> 963.78]  Want ChatGPT kan dus nu jouw scherm meekijken als je dat wil.
[963.88 --> 965.30]  Zowel op Mac als op iOS.
[966.00 --> 968.66]  En dan dus die Google demo die er destijds was met...
[968.66 --> 970.66]  zie je een rubber daki in beeld.
[970.96 --> 973.80]  Die hebben zij gewoon keihard live gedemo'd op een iPad.
[974.64 --> 976.56]  Want die keek gewoon mee op het scherm en zei...
[976.56 --> 977.78]  Ik zie hier een wiskundeprobleem.
[977.86 --> 978.72]  Kan je me hierbij helpen?
[978.92 --> 981.14]  En ja, hij zei het kijkt gewoon mee.
[981.60 --> 982.40]  Op jouw scherm.
[982.58 --> 986.84]  Ja, dus de grap is dat je tot nu toe praat je met ChatGPT...
[986.84 --> 988.66]  door te typen of door...
[989.40 --> 990.66]  Ja, met een fysiek...
[991.50 --> 991.98]  Hoe zeg je dat?
[992.02 --> 992.94]  Met je mond te praten.
[993.08 --> 993.96]  Spreken met je mond.
[994.44 --> 996.28]  Of bestandjes te uploaden ernaartoe.
[996.28 --> 997.54]  Dus een stilstaande foto.
[997.54 --> 1000.54]  Of een stilstaand document.
[1000.60 --> 1001.64]  Of een document, zeg maar.
[1001.76 --> 1003.30]  Dat geldt als input.
[1003.40 --> 1006.88]  Maar dat is een beetje een houterige manier natuurlijk van communiceren.
[1007.02 --> 1010.92]  Want eigenlijk als je aan een mens een rekensom zou willen vragen...
[1010.92 --> 1011.62]  Hoe los ik dit op?
[1011.68 --> 1013.64]  Dan laat je die rekensom zien aan dat mens.
[1013.74 --> 1015.02]  In plaats van dat je dat houterig...
[1015.02 --> 1016.50]  Ik ga nu een foto maken.
[1016.64 --> 1018.16]  En die ga ik uploaden naar ChatGPT.
[1018.28 --> 1019.48]  En dan ga ik een vraag stellen.
[1020.50 --> 1023.86]  Dat zijn allemaal barrières.
[1023.86 --> 1024.86]  En die zijn nu beslecht.
[1025.80 --> 1027.46]  Op een vrij interessante manier.
[1027.54 --> 1030.54]  Want opeens kan je je camera gebruiken...
[1031.26 --> 1033.54]  Om de wereld om je heen te laten zien aan ChatGPT.
[1033.72 --> 1036.86]  En tegelijkertijd kan je die voice functies aan hebben.
[1037.58 --> 1037.88]  Ja, streaming.
[1037.88 --> 1039.44]  Feedback op wat er op dat moment in beeld is.
[1039.60 --> 1040.10]  Ja, precies.
[1040.18 --> 1043.48]  Dus je streamt alsof je een videocall aan het doen bent met die AI.
[1044.34 --> 1047.26]  Komt zowel beeld als tekst bij die AI binnen.
[1047.70 --> 1050.50]  Dus spraak, geluiden en beeld komen binnen bij die AI.
[1050.64 --> 1053.26]  Waardoor als je een rekensom hebt op een papiertje...
[1053.26 --> 1055.26]  laten ze zelfs op een gegeven moment een versie zien...
[1055.26 --> 1059.62]  Dat iemand met een stift op een A4'tje een som schrijft.
[1059.70 --> 1060.86]  En dat hij dan aanwijst.
[1061.06 --> 1062.38]  Wat moet ik hier doen?
[1062.54 --> 1064.40]  Dan zie je die vinger daarbij.
[1064.92 --> 1068.26]  En dan weet dus die AI dat doordat je wijst en hier zegt...
[1068.82 --> 1070.42]  Dat dat daarover gaat.
[1070.48 --> 1072.90]  Dat je daar de oplossing van die som van wil hebben.
