Video title: Google en OpenAI kondigen nieuwe modellen aan — dit is de belangrijkste AI week van het jaar ｜ ✨ ...
Youtube video code: uSpTxPuIAXQ
Last modified time: 2024-12-12 20:12:50

------------------ 

[0.00 --> 1.16]  18 plus speelbewust.
[190.32 --> 193.22]  En we gaan proberen samen te vatten deze aflevering.
[193.58 --> 194.64]  Dus laten we beginnen met Google.
[194.80 --> 196.48]  Want Google is wakker geworden.
[196.64 --> 198.40]  Dat is één ding wat we wel kunnen vaststellen.
[198.40 --> 203.22]  We hebben heel lang over Google en AI gepraat als een soort van AI-apologeten.
[203.60 --> 204.54]  Die heel lang hebben geroepen.
[204.60 --> 208.10]  Maar ja, maar wij zijn heel, wij waren al heel vroeg erbij met AI-hoog.
[208.40 --> 211.68]  Om elke keer te compenseren voor het feit dat ze overal achteraan hollen.
[212.52 --> 218.20]  Maar terwijl OpenAI met 12 Days of Shipmas bezig was.
[218.44 --> 227.98]  En de hele tijd leek de, ja, de aandacht te trekken met een soort van drip van nieuwe dingen die ze uitbrengen op dit moment.
[228.88 --> 233.36]  Is toch de shine op dit moment gestolen door Google, zou ik zeggen.
[233.60 --> 234.42]  Ja, die hebben hem ook.
[234.48 --> 237.46]  Het was tot nu toe heel vaak dat Google iets deed, dan OpenAI eroverheen.
[237.58 --> 237.70]  Ja.
[237.96 --> 240.56]  En nu speelt Google blijkbaar ook mee in dit spelletje.
[240.66 --> 242.14]  En gaat nog een keer doorheen lopen releasen.
[242.22 --> 242.32]  Ja.
[243.10 --> 244.56]  Kan je hele complotten achterdenken.
[244.68 --> 248.66]  Ik denk omeens zijn dat heel veel van dit soort marketing, kwartaal schedules ook gewoon een beetje sigroon lopen.
[248.78 --> 249.44]  Als ik er eerlijk ben.
[249.58 --> 250.18]  Ja, eind van het jaar.
[250.24 --> 251.12]  Ja, het gebeurt gewoon.
[251.26 --> 251.88]  Het is gewoon nu.
[251.98 --> 252.64]  Het is aan de hand.
[252.82 --> 254.00]  Mensen willen ook op vakantie straks.
[254.00 --> 256.72]  Laten we eerst op hoofdlijnen praten wat Google heeft gedaan.
[256.82 --> 258.12]  We gaan het straks over OpenAI hebben.
[258.26 --> 259.60]  Want er valt ook genoeg over te zeggen.
[259.72 --> 261.96]  Maar laten we eerst op hoofdlijnen over wat Google heeft gedaan.
[262.56 --> 266.68]  Wat ik heb opgeschreven, je moet me maar aanvullen wietse, is Gemini 2.0 Flash.
[267.14 --> 269.92]  Een nieuwe kleine model wat beter is dan een heel groot model.
[270.60 --> 271.46]  Project Astra.
[271.66 --> 274.90]  Dat is een persoonlijke AI-assistent die je omgeving begrijpt.
[274.98 --> 276.10]  Gaan we uitgebaat bij stilstaan.
[276.10 --> 277.74]  Project Mariner.
[278.18 --> 281.54]  Een soort plug-in, een extensie voor Chrome.
[281.80 --> 284.12]  Waarmee je je AI je computer kan laten bedienen.
[284.76 --> 287.48]  En een feature van Gemini, namelijk Deep Research.
[287.76 --> 291.14]  Volgens mij mist er dan nog een programmeertool die ze hebben uitgebracht.
[291.26 --> 291.74]  Jules.
[292.10 --> 292.26]  Ja.
[292.82 --> 293.68]  Heb ik dan alles?
[294.12 --> 294.44]  Ja.
[295.46 --> 297.32]  Je kan op een gegeven moment ook teveel bespreken.
[298.08 --> 299.44]  Nee, maar dit zijn wel de belangenen.
[299.48 --> 300.44]  En dit is alleen nog maar Google.
[300.76 --> 300.98]  Ik bedoel.
[301.04 --> 301.60]  Ja, nee, daarom.
[301.64 --> 302.74]  Maar laten we erin duiken wietse.
[302.78 --> 303.44]  Waar wil je beginnen?
[303.44 --> 307.94]  Wat vind je het bijzonderst of het belangrijkst?
[308.10 --> 309.88]  Nou, ik denk wel dat...
[309.88 --> 313.52]  We hebben die metafoor van een soort hardloopwedstrijd wel eens gebruikt.
[313.66 --> 315.56]  Dat je allemaal mensen in hun eigen baantje ziet rennen.
[315.66 --> 318.66]  En dat dan al die grote bedrijven met hun taalmodellen naast elkaar rennen.
[318.74 --> 319.54]  En achter elkaar rennen.
[319.62 --> 320.52]  En voorbij elkaar rennen.
[321.30 --> 323.56]  En dan doet Google nu een soort bol.
[323.78 --> 325.68]  Als in die begint ineens aan het einde met een sprint.
[326.18 --> 327.18]  Waar je u tegen zegt.
[328.36 --> 330.20]  Ik had hem wel een beetje aanzien komen, denk ik.
[330.24 --> 331.52]  Als in ik ben niet helemaal verbaasd.
[331.52 --> 333.92]  Maar het is toch gek om ineens te voelen van...
[333.92 --> 335.98]  Maar nu hebben ze ineens allemaal interne teams.
[335.98 --> 338.00]  Op meerdere parallele projecten tegelijk zitten.
[338.20 --> 339.26]  Alles draait op Gemini.
[339.52 --> 341.92]  En ze hebben ook demos laten zien van Gemini en robotics.
[342.40 --> 344.36]  Er zijn heel veel dingen die je vanuit de wetenschap.
[344.44 --> 347.28]  Of vanuit wat er allemaal in de academische wereld rondom AI gebeurt.
[347.40 --> 348.26]  Kan voorzien.
[348.58 --> 349.96]  Want daar wordt dan geoefend met...
[349.96 --> 353.46]  Kunnen we zo'n taalmodel of zo'n multimodaal model ook gebruiken voor robotica.
[353.86 --> 354.68]  Maar dat duurt dan wel leven.
[354.74 --> 357.90]  Voor het dan ook daadwerkelijk hetzelfde Gemini model is.
[358.26 --> 359.24]  En dat Google ook zegt.
[359.34 --> 360.82]  Hier zijn tools voor ontwikkelaars.
[361.02 --> 363.16]  Waardoor jij robots kunt aansturen met Gemini.
[363.48 --> 366.56]  Hier zijn tools waarmee jij Gemini als coding assistant kan inzetten.
[366.56 --> 370.04]  Allemaal losse projecten.
[370.06 --> 371.56]  Maar allemaal draaiende op datzelfde basismodel.
[372.58 --> 374.56]  En dat is wel een grote denk ik dat...
[375.32 --> 379.80]  Dat nu toch een soort van explosie is van het toepassen van het grote Gemini.
[380.00 --> 380.56]  Ja, oké.
[381.20 --> 382.88]  Dat snap ik in abstracto.
[383.08 --> 387.56]  Maar moet je dan zeggen dit valt uit elkaar in die projecten die ik net genoemd heb?
[387.58 --> 388.80]  Ja, en ik denk dat je daardoor ook...
[388.80 --> 391.56]  Want in essentie het succes van Notebook LM.
[391.76 --> 393.58]  Wat een team binnen Google was.
[393.58 --> 397.86]  Is die een soort van oude Google X-achtige dingen mocht doen.
[398.04 --> 401.32]  Ga maar lekker los en maak wat zinvols voor iemand die iets met onderzoek wil doen.
[402.08 --> 404.46]  Dat er nu allerlei projecten naast elkaar lopen.
[404.58 --> 406.30]  Onder al die coole namen die je net hebt genoemd.
[406.72 --> 407.54]  Welke weet je het vetste?
[407.84 --> 409.32]  Laten we er gewoon induiken.
[410.16 --> 414.42]  Ja, ik ben nu het meest onder de indruk van hun advanced audio.
[414.54 --> 414.96]  Hoe noemen ze het?
[414.96 --> 416.54]  Het heeft een hele lange complexe naam volgens mij.
[416.62 --> 417.30]  Ik weet het eigenlijk niet eens.
[417.38 --> 420.68]  Maar goed, het is eigenlijk wat we zo gaaf vinden aan Notebook LM.
[420.68 --> 423.20]  De kuchjes, de lachjes, de emotie vooral.
[423.58 --> 426.60]  Je bedoelt het podcast laten genereren door Notebook LM.
[426.68 --> 428.14]  Op het moment je een pdf uploads.
[428.26 --> 429.84]  Dan kan dat ding daar een podcast van maken.
[429.90 --> 432.38]  Tussen twee hosts die heel natuurlijk praten.
[432.52 --> 434.42]  En inderdaad kuchjes en pauzes laten vallen.
[434.62 --> 437.36]  Ja, waar ik me als ontwikkelaar al langer...
[437.36 --> 438.54]  Nou, is het frustratie?
[438.60 --> 440.00]  Ja, want ik ben gewoon heel erg ongeduldig.
[440.58 --> 443.96]  Ik zat te wachten op een soort dik gedrukt cursief en underline.
[444.08 --> 445.78]  Zoals je dat normaal in een word processor kan.
[445.90 --> 447.70]  Dingen dik maken, dingen cursief maken.
[447.70 --> 450.52]  Dat wilde ik voor tekst en dan voor emotie.
[451.22 --> 451.78]  In audio.
[452.06 --> 453.58]  Ja, dat Google tegen mij zou zeggen...
[453.58 --> 456.34]  Als jij een ster, sterretjes om een woord heen zet...
[456.34 --> 458.92]  Dan gaat die persoon die dat uitspreekt, die nep persoon...
[458.92 --> 460.92]  Die gaat even op een andere manier dat uitspreken.
[460.98 --> 463.54]  Want het moet misschien een woord zijn met extra nadruk.
[463.68 --> 464.32]  Zoals ik nu doe.
[464.54 --> 466.04]  Of even luisteren.
[466.04 --> 469.26]  En waarom wil je dit zo graag?
[469.90 --> 475.08]  Omdat de audio content die nu gegenereerd wordt door die modellen...
[475.08 --> 476.28]  Is toch heel erg monatoom.
[476.96 --> 480.10]  Er wordt een soort gegokt door het model aan de hand van het lezen.
[480.54 --> 481.78]  Waar moet ik nu nadruk leggen?
[482.02 --> 483.18]  Zie je het als een audiobook.
[483.52 --> 486.16]  Een goede voorleesstem die beseft ook...
[486.16 --> 488.24]  Ik moet hier even een pauze houden, want er komt een reveal.
[488.56 --> 489.72]  Wie staat er achter de deur?
[490.24 --> 490.68]  Alexander.
[491.16 --> 494.28]  En dat kan je al doen door die tekst te interpreteren.
[494.28 --> 496.96]  Maar nu kan jij als ontwikkelaar zeggen...
[496.96 --> 499.26]  Ik wil pauzes gewoon door puntjes toe te voegen.
[499.34 --> 500.42]  Het is allemaal helemaal niet zo ingewikkeld.
[500.90 --> 502.14]  Ik wil nadruk daarop.
[502.22 --> 503.90]  Ik wil dat je hier een soort...
[503.90 --> 505.94]  Net als sarcasm tags op internet zeg maar.
[506.28 --> 507.40]  Van weet je...
[507.40 --> 507.96]  Je gaat nu...
[507.96 --> 508.78]  Ze had een heel mooie demo.
[509.24 --> 509.96]  Ging over het weer.
[510.10 --> 510.74]  Dus dan...
[510.74 --> 513.04]  Het weer wordt iedere dag aan jou verteld via je smart speaker.
[513.38 --> 513.96]  Door een stem.
[514.34 --> 516.30]  En als het weer heel slecht is...
[516.30 --> 518.36]  Dan krijg je ook een soort van verdrietige stem.
[518.42 --> 518.96]  Die zegt van...
[518.96 --> 519.58]  Ah, het is weer...
[519.58 --> 520.34]  Dat is nu zo.
[520.44 --> 520.86]  Nee, toch?
[520.86 --> 521.56]  Dit is niet zo.
[521.64 --> 523.04]  Nu met een Google...
[523.04 --> 524.86]  Een soort van straakassistent.
[525.10 --> 525.84]  Laat ik zo zeggen...
[525.84 --> 527.16]  Kijk, als ontwikkelaar...
[527.16 --> 528.62]  Het is nu zo in mijn hoofd.
[528.76 --> 529.34]  Ja, oké.
[529.38 --> 532.46]  Maar als eind-eind gebruiker die een smart speaker heeft...
[532.46 --> 532.68]  Nee.
[533.16 --> 533.92]  Alleen...
[533.92 --> 536.80]  Voor iedere smart speaker maker in de wereld...
[536.80 --> 538.46]  En iedereen die iets met audio doet...
[538.46 --> 542.28]  Kan jij nu wel die emotie van die stem sturing geven.
[542.36 --> 544.00]  En ik vond dat wel het laatste puzzelstukje.
[544.08 --> 544.52]  Maar oké.
[544.56 --> 545.66]  Even resumerend.
[545.72 --> 548.92]  Want je zoomt nu in op een heel specifiek deel...
[548.92 --> 551.02]  Van dit enorme model.
[551.18 --> 552.22]  Ja, maar het is op zich...
[552.22 --> 553.94]  Denk ik ook wel exemplarisch.
[554.04 --> 556.48]  Want we duiken nu één vertical in.
[556.66 --> 558.42]  Namelijk spraak genereren.
[558.54 --> 560.22]  Met hetzelfde model dat ik plaatje kan maken.
[560.38 --> 561.92]  En we zullen dadelijk zien...
[561.92 --> 562.96]  Je computer kan bedienen.
[563.22 --> 565.46]  En de wereld om je heen kan begrijpen.
[565.56 --> 567.52]  Maar nu eerst even dit specifieke ding.
[567.58 --> 568.84]  Want dit vind jij het interessantst.
[569.76 --> 571.60]  Het genereren van stemmen...
[571.60 --> 574.26]  Was een paar jaar geleden nog een robotstem.
[574.86 --> 577.34]  Dat is met Eleven Labs allemaal natuurlijker geworden.
[577.46 --> 579.12]  Dat is veel natuurlijker taal geworden.
[579.42 --> 580.78]  En hij kan ook accenten doen.
[581.24 --> 581.60]  En daarmee...
[582.16 --> 584.44]  Nou, daarmee hebben we echt al een soort van...
[584.44 --> 585.28]  Wow effect bereikt.
[585.42 --> 586.70]  Maar zeg jij...
[586.70 --> 587.90]  Je komt er eigenlijk achter...
[587.90 --> 590.02]  Door dit nu veel te gebruiken in de praktijk.
[590.14 --> 591.62]  Text to speech.
[591.94 --> 593.58]  Dat je zit te luisteren naar artikelen of zo.
[593.58 --> 595.74]  Dat het nog steeds niet het haalt...
[595.74 --> 598.58]  Bij het ingesproken stemmen van bijvoorbeeld audiobooken.
[599.22 --> 599.86]  Door echte mensen.
[599.86 --> 601.96]  En dat komt door dit soort dingetjes.
[602.10 --> 604.46]  Die pauzes laten vallen of nadruk leggen.
[604.52 --> 604.96]  Dat soort dingen.
[605.62 --> 609.38]  En dat is iets wat AI kan proberen na te doen met Eleven Labs.
[609.48 --> 611.26]  Maar dat gaat vaak genoeg nog mis.
[611.32 --> 614.54]  Dat je alsnog een beetje vermoeid blijft om daarnaar te luisteren.
[614.62 --> 617.34]  Dat de klemtonen alsnog verkeerd gelegd worden.
[617.66 --> 619.52]  En wat jij nu zegt is...
[619.52 --> 623.74]  Nu kan je als programmeur zelf die elementen toevoegen.
[624.04 --> 624.40]  Programmeur.
[624.50 --> 625.36]  Je hoeft helemaal geen programmeur.
[625.50 --> 626.54]  Dat is een dombe noem.
[626.54 --> 628.14]  Nee, het is gewoon tekst.
[628.14 --> 631.58]  Ja, dan ga je luisteren naar wat dat ding genereert.
[631.66 --> 631.98]  En dan denk je...
[631.98 --> 633.26]  Eigenlijk moet je hier een pauze laten vallen.
[633.38 --> 635.18]  En dan kun je die zelf toevoegen.
[635.36 --> 638.30]  En daarmee kun je eigenlijk die magie van Notebook LM...
[638.30 --> 642.20]  Die podcast die die Google tool voor je genereert...
[642.20 --> 644.34]  Kun je eigenlijk meer controle overnemen.
[644.60 --> 646.98]  Door zelf zo'n tekst te verrijken.
[647.52 --> 649.74]  En misschien te prompten op zo'n manier...
[649.74 --> 652.00]  Dat het op schaal gaat werken.
[652.06 --> 653.14]  En dat het geloofwaardiger wordt.
[653.14 --> 657.90]  Ja, het is echt alsof je van een lijntekening naar inkleuren.
[658.24 --> 660.46]  We kunnen nu eindelijk emoties inkleuren op het tekst.
[660.46 --> 661.06]  Instemmen.
[661.50 --> 661.90]  Instemmen.
[662.02 --> 662.98]  En ik denk dat...
[662.98 --> 664.02]  En ik kan me zo voorstellen...
[664.02 --> 665.94]  Ik zit nu, terwijl we het hier over hebben te denken...
[665.94 --> 667.34]  Dan gooi ik er een tekst in.
[667.66 --> 668.28]  Een stuk audio.
[669.04 --> 669.72]  Wilfried de Jong.
[670.28 --> 670.76]  Rotterdammer.
[671.68 --> 673.72]  Rotterdammers die praten namelijk anders dan Amerikanen.
[674.06 --> 675.68]  Zeker Amerikanen uit de stad.
[676.08 --> 676.74]  Ja, dat is ook.
[676.84 --> 677.86]  Want nu hebben we...
[677.86 --> 679.92]  Nu kunnen we het zeg maar emotioneel inkleuren.
[679.92 --> 683.18]  Maar ik vind die Notebook LM podcast die gemaakt worden...
[683.18 --> 684.56]  Ook niet zo chill om naar te luisteren.
[684.64 --> 685.24]  Want ik ben...
[685.24 --> 688.60]  Ik kan best wel wat hebben van die soort van frivoliteit van Amerikanen.
[688.64 --> 689.78]  Maar niet te veel op één dag.
[689.92 --> 692.28]  Ja, ze zijn wel heel enthousiast over alles.
[692.30 --> 692.98]  Echt over niks.
[693.06 --> 694.36]  Dat is wel echt...
[694.36 --> 695.92]  Daar word je op een gegeven moment heel vermoeid van.
[696.08 --> 697.78]  Ja, dus ik zou dan denk ik...
[697.78 --> 700.92]  Misschien wil ik dan een soort van de kleur...
[701.78 --> 705.28]  Taal, emotie kleur pakken uit een fragment van Wilfried de Jong.
[705.38 --> 706.76]  Dat dan omzetten in syntax.
[706.76 --> 707.96]  Dat is echt super developer dit.
[707.96 --> 710.06]  Maar zodat ik dat mee kan geven in de prompt.
[710.16 --> 711.22]  En kan zeggen oké, luister.
[711.38 --> 712.78]  Ik zou dat dan klaut vragen denk ik nog.
[712.98 --> 714.00]  Ik heb eigenlijk nog niet...
[714.00 --> 715.82]  De vraag hoe praat Wilfried de Jong.
[715.92 --> 719.08]  En dat wil je dan uitgelegd krijgen in waar die pauzes laat vallen bijvoorbeeld.
[719.36 --> 723.22]  Ja, en dan ook zeggen joh, er is nu voor mij een mogelijkheid om...
[723.22 --> 726.34]  Je gaat voor mij een tekst maken die ik straks in een taalmodel ga stoppen.
[726.44 --> 728.96]  Die de mogelijkheid heeft om aan te geven wat benadrukt moet worden.
[729.06 --> 730.30]  Wat verdrietig verteld wordt, et cetera.
[730.46 --> 731.94]  Daar mag je deze syntax voor gebruiken.
[732.06 --> 733.60]  Hop, documentatie van Gemini erin.
[733.60 --> 735.96]  En dan wil ik speech to text doen.
[736.08 --> 740.56]  Dus een bestaande ding zodat ik mezelf kan laten inspireren.
[740.68 --> 745.20]  En een soort van mimicking kan doen van iemands manier van emotie geven in taal.
[745.64 --> 746.80]  Dat omzetten in tekst.
[747.12 --> 749.24]  En dan die tekst aanvullen met de juiste codes.
[749.42 --> 750.88]  Om daar een podcast uit te maken.
[751.00 --> 751.98]  Of wat dan ook eigenlijk.
[752.38 --> 756.38]  Met als het ware een Rotterdammer wat betreft emotionele kleur in tekst.
[756.38 --> 759.46]  gemaakt door Gemini met die audio.
[759.64 --> 761.24]  Want ik denk wat mij betreft.
[761.34 --> 764.24]  Ik stuurde een aantal mensen vanochtend toen ik dit las.
[764.42 --> 765.44]  Van die Gemini feature.
[765.84 --> 768.44]  Van dit was voor mij het laatste puzzelstukje.
[768.88 --> 770.78]  Wat betreft audio is het nu klaar.
[771.74 --> 772.02]  Ja.
[772.50 --> 773.72]  En dit is belangrijk.
[773.92 --> 778.86]  Omdat denk ik mensen die met spraakassistenten spreken.
[779.08 --> 780.36]  Dat doen we allemaal wel eens met Siri.
[780.68 --> 782.86]  Dan is er een niveau waarop je geïrriteerd bent.
[782.86 --> 784.84]  Dat het ding gewoon niet begrijpt waar je het over hebt.
[784.84 --> 788.26]  Dat is één ding wat je beslechten moet.
[788.38 --> 792.28]  En dat is al een stuk beter geworden door de introductie van generatieve AI.
[792.42 --> 793.50]  In die spraakassistenten.
[793.56 --> 795.14]  Hiervoor was het een beetje een soort van.
[795.32 --> 796.98]  Als de gebruiker vraagt om een timer.
[797.18 --> 798.06]  Dan zet je een timer.
[798.80 --> 801.12]  Nu kan je het op alle mogelijke manieren.
[801.30 --> 801.74]  Kun je het vragen.
[801.84 --> 802.88]  Begrijpt hij het nog steeds.
[803.14 --> 805.84]  En kan je veel ingewikkeldere vragen stellen aan dat ding.
[806.46 --> 808.28]  Dat is één niveau waarop dingen beslecht worden.
[809.22 --> 809.82]  Maar alsnog.
[809.82 --> 813.28]  Als je dan bijvoorbeeld chatty advanced voice mode gebruikt.
[813.28 --> 815.38]  Die stem die je kan onderbreken.
[815.56 --> 816.64]  Die lage latency heeft.
[816.72 --> 818.02]  Waardoor er weinig pauze valt.
[818.16 --> 819.08]  En veel vragen kan stellen.
[819.22 --> 821.02]  En ook wel een beetje emotie heeft.
[821.70 --> 823.20]  Alsnog merk ik.
[823.58 --> 824.96]  Als gebruiker.
[825.66 --> 827.76]  Dat het vermoeiend is om met dat ding te blijven praten.
[828.14 --> 830.60]  Omdat dit element waar jij het nu over hebt.
[830.68 --> 831.44]  Nog niet goed werkt.
[831.58 --> 831.82]  Klopt.
[831.94 --> 834.36]  En ik merk zelfs dat in die uncanny valley.
[834.58 --> 835.62]  Dus het tussenstuk tussen.
[836.08 --> 836.74]  Het is meh.
[836.74 --> 838.28]  Het gaat nu richting bijna echt.
[838.46 --> 839.36]  En dat stapje ertussen.
[839.36 --> 842.48]  Is een best wel frustrerende plek om te zijn als gebruiker.
[842.88 --> 844.40]  Want ik merk nu dat ik nog liever heb.
[844.46 --> 847.18]  Dat ik een lichtknopje in mijn kamer niet kan indrukken.
[847.58 --> 850.20]  Dan dat ik met mijn vinger tot één centimeter voor dat knopje kom.
[850.24 --> 851.64]  En in de lucht blijf vastzitten.
[852.12 --> 852.34]  Snap je.
[852.38 --> 853.96]  Het frustreert mij als gebruiker.
[854.32 --> 856.28]  Dat ik drie procent af ben van mijn doel.
[856.46 --> 858.58]  Ik ben dan liever denk ik vijftig procent af van mijn doel.
[858.80 --> 858.90]  Ja.
[859.02 --> 860.48]  En ik ben nu aan het praten met die dingen.
[860.58 --> 861.48]  We zijn zo dichtbij.
[861.48 --> 866.34]  En nog steeds voelt het niet als iets wat je daadwerkelijk als alternatief voor een vriend bellen.
[866.40 --> 867.28]  Is het gewoon niet.
[867.70 --> 868.40]  En dan snap ik.
[868.56 --> 869.10]  Ik bedoel dat niet.
[869.22 --> 870.14]  Je hebt geen vrienden meer nodig.
[870.24 --> 871.06]  Dat hele ding.
[871.16 --> 871.36]  Maar gewoon.
[871.82 --> 873.46]  Zoals je met een vriend praat.
[873.78 --> 877.18]  Daar komt dat ding nog steeds niet dichtbij genoeg.
[877.28 --> 880.26]  Om dat gewoon een fietstochtje lang met Chachipati te gaan praten.
[880.40 --> 880.68]  Bijvoorbeeld.
[881.62 --> 883.22]  En dit is dus wat jij zegt.
[883.48 --> 884.46]  Om hier te komen.
[884.58 --> 885.96]  Om hier dichterbij te komen.
[886.44 --> 887.14]  Dat is nodig.
[887.40 --> 889.28]  Om het echt in ons leven te verwerken.
[889.28 --> 890.94]  En dat je ook echt met je computer gaat praten.
[891.02 --> 892.24]  Zoals wij dat de hele tijd voorspellen.
[892.48 --> 894.44]  De sci-fi movie die wij de hele tijd schetsen.
[895.82 --> 897.54]  Om dat daadwerkelijk te komen.
[897.78 --> 899.94]  Moet dat stemdeel goed werken.
[900.24 --> 901.18]  Daarvoor heb je die emoties nodig.
[901.20 --> 901.44]  Exact.
[901.60 --> 903.04]  En als je dan nog even terug op die film.
[903.14 --> 903.38]  Her.
[903.48 --> 904.58]  Waar we het vaak over hebben gehad.
[904.68 --> 905.82]  Met Scarlett Johansson erin.
[906.28 --> 907.94]  Man wordt verliefd op een AI.
[908.28 --> 908.60]  OS.
[908.74 --> 909.84]  Zoals het dan in die film nog heette.
[910.56 --> 911.78]  Daar zijn wel checkboxes.
[912.16 --> 913.02]  Wat mij betreft.
[913.32 --> 913.48]  Ja.
[913.70 --> 915.86]  Is dat audio ding nu echt klaar.
[915.96 --> 916.04]  Ja.
[916.04 --> 917.10]  En dat vind ik best wel groot.
[917.26 --> 917.40]  Ja.
[917.72 --> 918.92]  Voor wat ik ervan gezien heb.
[918.92 --> 920.40]  Los van het feit dat de video.
[920.84 --> 921.90]  Waar het in uitgelegd wordt.
[922.38 --> 923.00]  Gevoiced wordt.
[923.40 --> 924.22]  Door het systeem zelf.
[924.52 --> 924.68]  Ja.
[924.74 --> 927.38]  En echt zonder enige vorm van irritatie aan mijn kant.
[927.46 --> 927.56]  Ja.
[927.56 --> 928.98]  Je hebt het nu over een video die Google.
[929.14 --> 930.00]  Het is heel erg meta dit.
[930.16 --> 930.34]  Ja.
[930.56 --> 931.40]  Maar ik doe wel even.
[931.52 --> 931.82]  Dankjewel.
[931.88 --> 932.46]  Ik betaal het wel even.
[932.86 --> 933.46]  Dit is een video.
[933.60 --> 934.86]  Dit is een hele reeks met video's.
[934.90 --> 936.18]  Die Google online heeft gezet.
[936.28 --> 936.66]  Waarin ze.
[936.92 --> 937.18]  Nou ja.
[937.82 --> 938.70]  Specifieke delen.
[938.92 --> 940.34]  Van een heel groot verhaal.
[940.60 --> 940.94]  Nogmaals.
