Video title: Economen denken dat je niet werkloos wordt door AI ｜ ✨ Poki
Youtube video code: CWw8nZ8rI9s
Last modified time: 2024-04-09 12:28:32

------------------ 

[0.00 --> 10.00]  MUZIEK
[185.50 --> 186.90]  Dat het einde van de wereld daar is.
[187.06 --> 191.76]  Misschien dat de muziek dan de gateway-truck is naar die duisteren waarheid.
[191.78 --> 194.34]  Maar het komt ook omdat het sporadisch is het gewoon heel goed.
[194.46 --> 198.16]  Ik zeg sporadisch, misschien ben ik alweer jaded en gewend aan Suno.
[198.32 --> 201.46]  Maar de meeste nummertjes die ik maak, kan ook aan mijn prompjes liggen.
[201.72 --> 202.96]  Zijn gewoon niet zo denderend.
[203.10 --> 204.02]  Veel autotune.
[204.44 --> 206.52]  Niet heel, voelt als AI-muziek.
[206.58 --> 207.16]  En dat vind ik niet erg.
[207.16 --> 208.64]  Maar sommigen zijn goed.
[209.14 --> 210.70]  Ik schrik er iedere keer gewoon een beetje van.
[210.82 --> 212.20]  Dan zit er een zin bij, die raakt me.
[212.64 --> 213.26]  Ja, ja, ja.
[213.36 --> 215.36]  Ik vong op een manier en dan denk ik, oei, oei, oei.
[215.70 --> 220.86]  Als V4 of 3.5 dit iets meer kan doen, dan zijn we wel op een punt van de eerste hit.
[221.18 --> 222.44]  Nou, en concurrerende bedrijven.
[222.54 --> 225.22]  Want daar zie ik de laatste tijd ook meer en meer over verschijnen.
[225.30 --> 227.76]  Dat er meer bedrijven zich in dit spelletje aan het mengen zijn.
[227.86 --> 229.12]  We wisten het eigenlijk al van Google.
[229.40 --> 231.86]  Dat ze AI-muziek maakten.
[231.96 --> 234.08]  Onder andere aanboden voor YouTube-creators.
[234.08 --> 236.82]  Om dat onder hun YouTube-video's te gebruiken.
[237.70 --> 242.52]  Die eigenlijk al voordat Suno zo populair was, was Google daar al mee bezig.
[242.58 --> 248.48]  Maar er zijn ook andere, kleinere bedrijfjes zoals Suno, die hun eigen model aan het maken zijn.
[248.62 --> 251.26]  En ik hoor toch ook daar veel enthousiasme over.
[251.40 --> 253.26]  Dus het laatste is hier zeker ook nog niet over gezegd.
[254.02 --> 258.30]  Het is niet alleen maar van Suno waar we dit van gaan meemaken, denk ik.
[258.30 --> 262.16]  Ja, en ik zit ook nog, het viel me ook ineens op.
[262.36 --> 264.26]  En dat misschien wordt daar verder niks mee gedaan.
[264.56 --> 266.60]  Maar qua branding, Sora, Suno.
[266.94 --> 270.12]  Dat ik dacht, ja, die vierletterige, beetje vrouwachtige naam.
[270.12 --> 270.66]  Kappen daarmee.
[270.68 --> 271.10]  Met een S.
[271.52 --> 272.16]  Kappen daarmee.
[272.60 --> 274.72]  Waarschijnlijk komen er, net als met Uber voor X.
[274.96 --> 276.90]  Er is een hele investeringsgolf in geweest.
[276.98 --> 279.80]  Ging iedereen een Uber maken, maar dan voor pindakaaspotten bestellen of zo.
[279.98 --> 284.24]  Dat ik me ook voor kan stellen dat je dus nu de Suno en Sora's gaat krijgen voor X.
[284.48 --> 286.20]  Dus nog een heel veel andere thema's.
[286.32 --> 286.76]  Ben benieuwd.
[286.76 --> 291.10]  Ja, we gaan het straks hebben over meer mensen die hun baan gaan kwijtraken.
[291.20 --> 292.26]  Het zijn niet alleen de muzikanten.
[292.42 --> 293.20]  Nee, het is heel cynisch.
[293.28 --> 294.22]  Dat moet je niet doen over...
[294.22 --> 295.48]  Ja, dat hoeft ook helemaal niet.
[295.60 --> 296.54]  Dat hoeft ook helemaal niet.
[296.54 --> 300.76]  Maar we gaan het wel hebben over de rol van AI op werkgelegenheid.
[300.90 --> 303.96]  En er is een journalist die meent dat het allemaal wel meevalt.
[304.06 --> 304.70]  En die gaan we bellen.
[306.32 --> 312.12]  Maar het AI-nieuws van deze week kan je eigenlijk niet bespreken zonder te hebben over wat er in Israël en Gaza gebeurt.
[313.34 --> 315.16]  Twee grote nieuwsverhalen deze week.
[315.16 --> 324.86]  Eén ging over hoe het Israëlische leger AI gebruikt om doelwitten te vinden in Gaza om te bombarderen.
[325.46 --> 327.50]  Daar was een groot verhaal over.
[327.62 --> 331.16]  Een ander verhaal dat is wat meer ondergesneeuwd gebleven.
[331.16 --> 336.52]  Maar toch ook wel interessant omdat er ook een grote rol voor AI in zit.
[336.60 --> 341.46]  En dat is namelijk het gebruik van gezichtsherkenning in de Gaza-strook door het Israëlische leger.
[341.46 --> 350.74]  Wat er op dit moment gebeurt is dat er allerlei beelden zijn van Hamas-strijders.
[351.28 --> 356.00]  En dat die beelden gebruikt worden door het Israëlische leger om te analyseren.
[356.64 --> 360.42]  En vervolgens maken ze daar een gezichtendatabase van.
[360.52 --> 364.74]  Dat is dan beelden die ze op social media hebben gevonden of op andere manieren hebben verkregen.
[364.74 --> 372.08]  Die gezichten leggen ze vast en vervolgens gebruiken ze in Gaza checkpoints als mensen van A naar B willen reizen.
[372.72 --> 378.08]  Om mensen als het ware door zo'n fuik te laten gaan.
[378.56 --> 381.36]  Om dan vervolgens foto's te maken van hun gezichten.
[381.48 --> 386.94]  Zodat ze die foto's of die mensen die dan in de reis staan kunnen vergelijken met een zogenaamde hitlist.
[387.44 --> 391.52]  Van mensen die mee hebben gedaan aan de aanslag van 7 oktober.
[391.52 --> 397.76]  Een bedrijf wat ze daarvoor gebruiken, de technologie daarvan, wordt gemaakt door een bedrijf het CoreSight.
[397.88 --> 400.52]  Dat is een bedrijf uit Tel Aviv.
[401.10 --> 407.56]  En die menen dat ze zelfs gezichten kunnen herkennen waarbij het gezicht minder dan de helft zichtbaar is.
[408.30 --> 412.10]  Maar, en dit is, nou ja, sajant zou je kunnen zeggen.
[412.30 --> 418.50]  Niet alleen gebruikt het leger van Israël deze technologie van dit Israëlische bedrijf.
[418.50 --> 420.44]  Maar ze gebruiken ook Google Photo's.
[420.44 --> 433.80]  Namelijk, ze kwamen erachter dat Google Photo's, door het uploaden van foto's van mensen waar ze een foto van hadden uit social media beelden.
[434.46 --> 440.14]  Dat Google Photo's heel erg goed was in mensen herkennen waar dat bedrijf CoreSight stopte.
[440.14 --> 450.14]  Dus het is op dit moment zo dat in deze oorlog er gezichtsherkenningstechnologie gebruikt wordt die jij ook in je broekzak hebt zitten met Google Photo's.
[450.14 --> 457.48]  Om mensen op te pakken die op social media beelden vergaard zijn.
[457.64 --> 460.14]  Het is een bijzondere tijd.
[461.00 --> 461.52]  Laten we het daar maar op.
[461.52 --> 470.36]  Ja, en ik denk dat jij en ik het heel vaak in pokey, zeker richting het einde van afleveringen, gaan we in een soort, zeker toen we net begonnen met deze podcast, werd er heel veel gezegd.
[470.44 --> 475.36]  Jullie zijn een soort Black Mirror audio podcast aan het maken met allemaal enge verhalen.
[475.46 --> 476.58]  En dit is denk ik een verhaal.
[476.62 --> 476.78]  Exhibit B.
[476.78 --> 482.60]  Nou ja, soms kom je een verhaal tegen wat gewoon nu is en gebeurt.
[483.38 --> 487.88]  En ja, ik zou zeggen, doe ermee wat je wil als luisteraar.
[488.04 --> 492.96]  En ik denk dat het een toepassing van deze technologie is waar we een hoop vraagtekens bij moeten stellen.
[493.88 --> 497.50]  Ja, oké. Dan door met het volgende.
[497.92 --> 502.42]  Afgelopen week was een ander groot nieuwsverhaal en die is iets minder heftig.
[502.42 --> 510.40]  Er is opeens een groot verhaal onder journalisten van The Wall Street Journal, van The New York Times en van The Verge.
[510.82 --> 515.86]  Die elkaar opeenvolgend aanvulden in een verhaal.
[515.96 --> 526.12]  Namelijk dat volgens voorspellingen de hoeveelheid data die gebruikt wordt om taalmodellen mee te trainen op gaat zijn in 2026.
[526.12 --> 532.80]  Oftewel, dan is er niet genoeg bronmateriaal meer om taalmodellen op te trainen.
[533.02 --> 538.94]  En die bronmaterialen zijn natuurlijk nodig om taalmodellen beter te maken, om ze slimmer te maken.
[539.10 --> 545.12]  GPT-3 was gebruikt in minder brondata dan GPT-4, om het maar simpel te zeggen.
[545.92 --> 552.08]  En daarvoor dwingen die bedrijven zich in allerlei bochten.
[552.08 --> 555.38]  En deze week was er over een aantal dingen gedoe.
[555.92 --> 563.48]  Eén was dat OpenAI YouTube filmpjes zou hebben gescraped voor het trainen van GPT-4.
[564.04 --> 570.84]  Volgens The Verge hebben ze meer dan een miljoen minuten aan audio gescraped van YouTube.
[571.72 --> 577.60]  YouTube vindt dat niet goed, want dit gaat tegen hun Terms of Service in.
[577.60 --> 586.58]  Dus dat is gedoe en dat is zaijant aangezien Google natuurlijk zijn eigen taalmodel maakt en Google eigenaar is van YouTube.
[586.88 --> 594.62]  En Google op eigen initiatief ook YouTube filmpjes gebruikt om haar taalmodellen te trainen.
[594.76 --> 602.18]  En daarvan is ook niet helemaal duidelijk of dat nou getraind is op video's voor of na een Terms of Service change.
[602.18 --> 611.74]  Want dat hebben ze op een gegeven moment gedaan vorig jaar, dat video's die je uploadt naar YouTube, dat je daarmee ook toestemming geeft aan Google om haar taalmodellen mee te trainen.
[611.94 --> 617.04]  Maar nu is natuurlijk de vraag, hebben ze ook hun model getraind op de video's van voor die tijd?
[617.20 --> 619.20]  Dat is waarschijnlijk zeer aanlokkelijk om dat te doen.
[619.72 --> 627.52]  En dit gebeurt dus de hele tijd, dat er getraind wordt op data waarvan het een, laten we zeggen, juridisch grijs gebied is of dat überhaupt wel mag.
[627.52 --> 639.36]  Maar het mooiste voorbeeld van het trainen van data uit bronnen waarvan je kan denken, apart, is van Meta, die dus een open source taalmodel aan het maken zijn.
[640.08 --> 650.74]  En daar, zo bracht de New York Times vorige week, daar is daadwerkelijk discussie geweest of ze niet een uitgever van boeken moesten kopen,
[651.24 --> 655.62]  zodat ze geen gedoe zouden hebben over juridische consequenties achteraf.
[655.62 --> 656.56]  Zij wilden daadwerkelijk...
[656.56 --> 658.72]  Ook zo'n lekker brute force ook.
[659.10 --> 660.98]  Maar het is ook niet zomaar een uitgever.
[661.14 --> 666.00]  Het is de uitgever Simon & Shuster, dat is een gigantische Amerikaanse uitgever.
[666.86 --> 672.28]  En een van de belangrijkste en meest prestigieuze boekenuitgevers van de Verenigde Staten.
[672.72 --> 680.18]  Er zijn dus serieus gesprekken geweest om die uitgeverij te kopen, zodat ze geen juridisch gedoe meer zouden hebben.
[680.18 --> 686.58]  En dat ze lekker alle boeken waar die uitgeverij licenties op heeft, om die te gebruiken om mentaalmodellen te trainen.
[687.56 --> 696.98]  Ik vind het sowieso interessant, want data als olie, data als iets heel erg waardevols, die discussie is al jaren oud.
[697.22 --> 701.02]  Ik zit al te lang op verjaardagen te zeggen, Google is niet gratis, je betaalt met wat anders.
[701.14 --> 704.16]  En dan wordt er een soort van half teruggelachen en geroepen, ik heb toch niks te verbergen.
[704.16 --> 706.54]  Maar uiteindelijk merken we nu...
[706.54 --> 709.10]  De samenvatting van een verjaardag met Wietse, leuk.
[709.46 --> 711.96]  Ja, ik kom niet meer zo veel op verjaardagen, ik word niet meer uitgenodigd.
[711.98 --> 712.28]  Ja, precies.
[712.66 --> 714.64]  Ik weet ook niet hoe dat komt.
[715.02 --> 724.16]  Maar het idee dat nu dus de partijen die én bestaande data hebben, dat kunnen uitgevers zijn inderdaad, journalistieke...
[725.28 --> 726.14]  Hoe noem je dat?
[726.56 --> 727.44]  Wat is de New York Times?
[727.88 --> 731.06]  Een uitgever ook, maar dan van kranten in plaats van boeken.
[731.06 --> 734.58]  Ja, en dat die natuurlijk nu ineens een soort goud in handen hebben.
[735.64 --> 741.04]  Tijdelijk, want ze hebben iets ouds wat ze kunnen verkopen, maar ze hebben ook nog nieuwe content die gemaakt wordt en die blijft dan ook wat waard.
[741.14 --> 743.22]  Dus je hebt een soort nieuwe manier om aan geld te komen.
[744.14 --> 748.30]  Maar dat is dan nog alleen maar de klassieke uitgever.
[748.60 --> 755.24]  Je hebt natuurlijk ook gewoon de social media firms die per seconde een hoeveelheid data te verwerken krijgen vanuit allerlei individuen.
[755.60 --> 756.94]  En daar natuurlijk op kunnen trainen.
[756.94 --> 765.56]  En nu iedereen de deur dicht gegooid heeft en hun eigen terms of service zo heeft aangepast dat de gebruiker data gebruikt mag worden, maar niet door een ander dan zij zelf.
[766.16 --> 776.54]  Zitten we ineens inderdaad in die soort data wars waarin heel helder aan het worden is ook wie blijkbaar al die tijd al heel veel waarde in huis had en daar nu ineens achter komt.
[776.54 --> 782.14]  Of wie toch al door had dat dat heel erg waardevol was en nu de deur nog wat verder dicht gedaan hebben.
[782.70 --> 788.72]  Ik vind het wel, en ik blijf erbij dat YouTube er gewoon echt een gigantische is, omdat zij het video internet zijn.
[789.06 --> 789.14]  Ja.
[790.90 --> 793.24]  Ook daar is weer de vraag of het wel mag, Witsen.
[793.44 --> 803.26]  Dus dan mag Google wel data gebruiken, want ze kunnen wel claimen dat ze alles bezitten, omdat ze toevallig de servers hosten.
[803.26 --> 808.48]  Maar het is toch gewoon van gebruikers, die hebben geen toestemming daarvoor gegeven.
[808.60 --> 810.06]  Nou ja, niet met terugwerkende krachten.
[810.06 --> 812.54]  Nee, dat is toch wel waar de goudpot zit.
[812.86 --> 827.88]  Nou ja, ik ga ervan uit dat, ja, je kent gewoon de huidige Europese wetgeving niet goed genoeg, maar ik kan me heel goed voorstellen dat er van alles opgenomen is over het feit dat jij als gebruiker, als jij denkt dat je iets uploadt naar een platform, misschien in eerste instantie dat het niet gepubliceerd wordt.
[827.88 --> 834.04]  Dus je hebt mensen die hebben ook YouTube gewoon op privé staan, of alleen als je het linkje hebt mag je het kijken, kunnen ze dat ook indexeren?
[834.42 --> 842.76]  Of gaat het alleen op de video's die publiek zijn en kunnen ze dan de zaak maken van, ja, luister, als het publiek is voor mensen, dan is het ook publiek voor modellen.
[842.98 --> 844.36]  Dus die mogen daar dan op trainen, punt.
[845.10 --> 846.76]  Moet je ook nog maar zien of dat zo is.
[846.76 --> 854.44]  Nou, wat in ieder geval de conclusie van al deze discussies elke keer lijkt te zijn, is ja, dan gaan we wel trainen op synthetische data.
[854.66 --> 858.46]  Dus data gegenereerd door taalmodellen om taalmodellen mee te trainen.
[859.00 --> 861.70]  Je moet me toch nog één keer uitleggen hoe dat werkt, Wietse.
[861.84 --> 867.06]  Hoe kan je een taalmodel trainen op basis van gegenereerde taal door dat taalmodel?
[868.30 --> 872.28]  Nou, wat ik begreep, want intuïtief klopt er natuurlijk geen snars van, dat dit kan.
[872.28 --> 879.16]  En toch intuïtief heb je zoiets van garbage in, garbage out. Als je iets gaat laten genereren, dan kan dat niet iets zijn waar je op traint.
[879.28 --> 879.38]  Nee.
[880.40 --> 890.94]  Ja, toch tegelijkertijd zit er ook, en misschien is het een beetje vergezocht, maar ik vind het op dezelfde manier intuïtief vreemd dat een simpeler systeem een complexer systeem kan voortbrengen.
[891.16 --> 896.22]  Zoals wij hier met z'n tweeën zitten, als mensen vanuit een worm, ik bedoel, of een visje, whatever.
[896.22 --> 904.24]  Dat was een simpeler systeem, wat zichzelf heeft geüpdate, nieuwe informatie, om zichzelf daarna te evalueren tot iets complexers.
[904.54 --> 909.36]  Daar zit een beetje voor mij dezelfde in. Het is dat ik het zie, ik zit hier, of we nou een simulatie zijn of niet.
[909.72 --> 910.60]  We zijn complexer.
[910.98 --> 916.86]  Ja, dus ik kan er niet omheen wat de realiteit is, dat een eenvoudig systeem een complex systeem voort kan brengen.
[917.00 --> 921.58]  Dus je kan jezelf aan je eigen veters optillen. Dat klopt niet, maar dat kan toch.
[921.58 --> 926.64]  Dus ik denk op diezelfde manier dat een algoritme data kan genereren.
[926.74 --> 930.02]  En ik denk omdat je dan zegt, oké, ga maar heel breed genereren.
[930.40 --> 934.26]  En dan wordt er een klassificatie gedaan op iets betere data.
[934.46 --> 936.82]  Dus creëer maar een hoop, lekker breed.
[936.98 --> 938.92]  Bijvoorbeeld, laten we Suno als voorbeeld nemen.
[939.04 --> 945.00]  Er wordt heel veel muziek gegenereerd, maar dat algoritme is tegelijkertijd in staat om de kwaliteit van die muziek te beoordelen.
[945.00 --> 951.24]  En gaat dan kwalificeren en zeggen, ik gooi 90% van wat ik zelf heb gegenereerd, zojuist ga ik weggooien.
[951.32 --> 953.82]  10% kwalificeer ik zelf als beter.
[954.26 --> 955.68]  En dat voeg ik weer toe aan een set.
[955.78 --> 961.42]  En op die manier train ik mezelf, als het ware, op data die ik ook zelf heb gekwalificeerd als beter.
[961.56 --> 968.20]  En dat je in zo'n soort proces, wat ik dan een beetje ver gezocht, maar combineer met een soort evolutionair algoritme.
[968.42 --> 973.04]  Kan je toch jezelf uit de modder optillen naar iets wat eigenlijk beter is dan wat je was.
[973.04 --> 978.54]  Maar dat is dan dus omdat er een, er is muziek gemaakt door dat ding.
[978.70 --> 982.94]  Daarvan constateert hij, 90% is prut, maar 10% is best wel goed.
[983.38 --> 990.48]  En die afweging maakt hij dan op muziek die die eerder, echte muziek van echte mensen die die eerder heeft geluisterd.
[990.58 --> 994.46]  En waarvan de soort van iemand een label heeft meegegeven, dit is goed.
[994.58 --> 998.84]  Dus hij heeft als het ware van zichzelf proberen te leren wat goed is.
[998.84 --> 1004.22]  Dus dat is, moet ik het zo begrijpen, hij gebruikt oude bronnen om de kwaliteit te beoordelen.
[1005.42 --> 1007.06]  Ja, en je hebt eigenlijk twee onderdelen.
[1007.14 --> 1010.54]  Dus je hebt iets wat genereert met een bepaalde intelligentie.
[1010.72 --> 1012.60]  Ik doe nu air quotes voor de luisteraar.
[1012.76 --> 1014.30]  Dus ik noem het synthetische intelligentie.
[1014.56 --> 1016.66]  Of misschien kunstmatige intelligentie.
[1016.92 --> 1017.04]  Hoe?
[1017.58 --> 1019.62]  Maar goed, en dat maakt dingen.
[1020.00 --> 1022.04]  En dan heb je nog iets wat je kan beoordelen.
[1022.52 --> 1023.54]  En daar zit denk ik de truc.
[1023.62 --> 1024.28]  Want dat zie je nu ook.
[1024.36 --> 1025.80]  Er kwam deze week een paper uit.
[1025.88 --> 1027.76]  Dat was volgens mij agents is all you need.
[1027.76 --> 1029.50]  Dus dat ging erover.
[1030.56 --> 1035.74]  Oké, als jij honderd GPT's naast elkaar zet.
[1035.84 --> 1039.86]  En die taalmodellen, die generatieve algoritmen hebben vaak een soort temperatuur in zich.
[1039.96 --> 1041.32]  Dat is een variabel temperature.
[1041.72 --> 1044.18]  En dat houdt eigenlijk in hoe erg is de noise.
[1044.42 --> 1049.72]  Dus bijvoorbeeld bij tekst, generatieve tekst is het dat je het volgende woord kiest.
[1049.84 --> 1052.68]  Maar het zou natuurlijk bijna saai zijn op een bepaalde manier.
[1052.72 --> 1054.84]  Als hij altijd hetzelfde volgende woord zou kiezen.
[1054.84 --> 1060.30]  Dus dat hij gewoon zegt, de kans dat na de zin eet je wel eens een en dan banaan komt.
[1060.72 --> 1062.76]  De banaan is altijd hoog, dan zegt hij altijd banaan.
[1062.86 --> 1066.32]  Maar als je dan die temperature omhoog gooit, dan gaat hij soms voor appel kiezen.
[1066.88 --> 1072.92]  Daardoor krijg je dus een soort randomness, een soort noise, een soort ruis in zoiets.
[1073.00 --> 1073.88]  En dat maakt het juist interessant.
[1073.88 --> 1074.56]  Dat zou je kunnen zeggen.
[1075.30 --> 1075.66]  Precies.
[1076.04 --> 1079.62]  En dat is waarom Stable Diffusion altijd een ander plaatje maakt en Dali 3 ook.
[1079.68 --> 1081.68]  Omdat daar zit een beetje noise in.
[1081.80 --> 1082.86]  Een beetje creativiteit.
[1083.26 --> 1084.82]  En wat kan je dan doen?
[1084.92 --> 1086.88]  Dan kan je zeggen, ik stel een vraag aan.
[1086.96 --> 1088.48]  Voor het gemak even zeggen, Claude.
[1088.78 --> 1091.12]  En dan Opus, de allerbruutste van Antropic.
[1091.60 --> 1094.94]  En dan laat ik honderd keer die vraag beantwoorden.
[1095.78 --> 1099.52]  En dan ga ik kijken welke antwoorden op elkaar lijken.
[1100.02 --> 1106.18]  En dan ga ik zeggen, 44 van die Opus agents, Claude Opus agents, hebben ongeveer zo'n antwoord gegeven.
[1106.38 --> 1106.98]  We gaan voor die.
[1107.36 --> 1109.10]  Zo'n buiten er eigenlijk een laag overheen.
[1109.36 --> 1111.84]  Die het eigenlijk aan 100 subagentjes vraagt.
[1112.22 --> 1115.74]  En dan weer een meta-agent, als een soort wisdom of the crowd, zeg maar.
[1116.02 --> 1120.58]  Zegt, joh, 44% van onze 100 agenten hebben zojuist dat antwoord gegeven.
[1120.92 --> 1121.56]  Ik ga voor die.
[1121.56 --> 1125.94]  En het blijkt dus, dat is wat eigenlijk het inzicht is van dat wetenschappelijk artikel.
[1126.04 --> 1128.86]  Wat deze week of vorige week uitgekomen is.
[1129.40 --> 1131.24]  Joh, gooi er gewoon meer agents tegen aan.
[1131.46 --> 1132.30]  That's all you need.
[1132.54 --> 1134.44]  Want dat kan je natuurlijk testen.
[1134.48 --> 1136.10]  Want we hebben allemaal van die synthetische testen.
[1136.54 --> 1139.68]  Dan vervraagd tekenen bij wat dat betekent voor ons als mensen.
[1139.78 --> 1142.06]  Die met die generatieve algoritme praten.
[1142.20 --> 1146.88]  Maar de testen laten dan zien dat het aantal goede antwoorden veel hoger wordt.
[1147.00 --> 1148.66]  Op het moment dat je het 100 keer vraagt.
[1148.66 --> 1152.34]  En dan kiest voor de consensus van die 100 agenten.
[1152.38 --> 1154.04]  En op die manier zijn er dus allerlei trucjes.
[1154.12 --> 1154.90]  Dat is een beetje mijn punt.
[1155.28 --> 1159.38]  Trucjes die je kan doen om eigenlijk met jezelfde modellen, zonder die te upgraden.
[1159.46 --> 1160.98]  Door ze gewoon parallel te laten draaien.
[1161.06 --> 1162.74]  En daar dan weer iets anders overheen te zetten.
[1163.20 --> 1164.28]  Kun je weer verder komen.
[1164.40 --> 1167.76]  En dat maakt mij persoonlijk ook dat ik wel durf te zeggen.
[1168.56 --> 1171.54]  Dat we nog niet aan het plafond zitten van wat die technologie nu kan.
[1171.88 --> 1175.82]  Omdat er gewoon nog zoveel laaghangend fruit is van trucjes die we nog kunnen doen.
[1175.82 --> 1178.50]  En met we bedoel ik dan de mensen die dit daadwerkelijk bouwen.
[1179.30 --> 1179.50]  Niet in.
[1179.94 --> 1182.50]  Ja, het is gewoon mijn hoofd hier niet.
[1183.06 --> 1184.74]  Dit past niet in mijn hoofd.
[1184.96 --> 1186.14]  Met synthetische data.
[1186.40 --> 1186.74]  100 agenten.
[1187.28 --> 1188.62]  Ja, en 100 agenten.
[1188.70 --> 1189.74]  Ja, dat komt er nog een keer bovenop.
[1190.18 --> 1190.50]  Oké.
[1190.76 --> 1195.60]  Meta gaat met AI gemaakt beelden of audio speciale labels geven.
[1195.60 --> 1202.84]  Ja, het punt is nu dat wat er gebeurt is dat er Facebook groepen opgezet worden.
[1204.44 --> 1208.32]  En eigenlijk wordt er dan heel veel AI generated content gepost.
[1208.50 --> 1211.16]  Om zoveel mogelijk likes te krijgen.
[1211.38 --> 1213.42]  Zodat zo'n groep steeds meer leden krijgt.
[1213.58 --> 1216.84]  Het zijn allemaal redelijk onschuldigen.
[1217.34 --> 1222.08]  Maar het is een kind naast een zandbak die een heel mooi zandkasteel gemaakt heeft.
