Video title: Bestaat mijn baan straks nog？ ｜ ✨ Poki
Youtube video code: iVMNK7jyIdI
Last modified time: 2024-02-13 08:02:38

------------------ 

[0.00 --> 0.96]  Waar spaar jij voor?
[191.90 --> 193.40]  En als je toen al een beetje slim deed...
[193.40 --> 194.74]  Kon je daar al kracht uit halen.
[195.12 --> 197.90]  Toen hebben ze er een chat interface gemaakt.
[198.04 --> 199.80]  En ook het model getraind als chat model.
[199.94 --> 201.22]  Het was niet alleen maar een interface.
[201.82 --> 203.08]  En toen gingen we er ineens mee chatten.
[203.16 --> 205.18]  En toen viel het kwartje bij ons allemaal.
[205.34 --> 206.04]  Zeg ik dan maar even.
[206.24 --> 206.28]  Ja.
[206.36 --> 207.86]  Dat was een bombshell.
[207.98 --> 209.18]  Wat eigenlijk een UI was.
[209.28 --> 210.56]  En een iets anders getraind model.
[211.26 --> 212.70]  Maar dat interfaceje daarvoor...
[212.70 --> 214.52]  Heeft altijd gevoeld als...
[214.52 --> 216.18]  Weekend Hackathon interface.
[216.34 --> 217.42]  Daarmee bedoel ik...
[217.42 --> 218.96]  Je hebt gewoon een chatje aan de rechterkant.
[219.02 --> 220.28]  En aan de linkerkant een menuotje.
[220.84 --> 221.96]  En donkergrijs.
[222.14 --> 223.54]  Is waarschijnlijk een standaard template...
[223.54 --> 224.60]  Die je ergens kan downloaden.
[225.02 --> 227.18]  Maar dat indelinkje is...
[227.18 --> 229.22]  Google heeft dat nu helemaal nagemaakt met Gemini.
[229.40 --> 230.98]  Met iets rondere hoekjes.
[231.12 --> 232.98]  En het fondje wat Google het liefst overal gebruikt.
[232.98 --> 234.56]  Ja, dit was waarschijnlijk de opdracht...
[234.56 --> 235.92]  Vanuit het management van Google.
[236.06 --> 237.24]  Maak chat GPT na.
[237.40 --> 238.74]  Daarna kijken we wel weer even.
[239.16 --> 240.06]  Ja, maar het is grappig.
[240.18 --> 241.60]  Want ook perplexity.
[241.70 --> 243.34]  Waar jij het wel eens vaker over hebt gehad.
[243.34 --> 245.30]  Inmiddels zijn zij veel verder geïtereerd.
[245.44 --> 246.70]  Ze zijn open AI voorbij.
[247.18 --> 249.50]  Maar ook daar begon het als een interfaceje...
[249.50 --> 252.04]  Wat overduidelijk het chat GPT interfaceje is.
[252.52 --> 254.78]  En ik vind het grappig dat...
[254.78 --> 255.78]  Ik snap het ergens wel.
[255.92 --> 258.86]  Want ja, als iemand dan iets anders probeert...
[258.86 --> 260.46]  Dan wil je eigenlijk misschien gewoon hetzelfde krijgen...
[260.46 --> 261.00]  Als je gewend bent.
[261.00 --> 262.50]  En even kijken hoe het daar dan werkt.
[263.06 --> 265.00]  Maar ik vind het ook bijna een...
[265.86 --> 268.00]  Je zou zeggen dat er bij Google wel wat mensen zitten...
[268.00 --> 274.78]  Die na zouden kunnen denken over iets meer dan een laffe kopie van de interface van open AI.
[275.12 --> 276.44]  Maar goed, je gaat nu de interface in.
[276.50 --> 278.00]  Maar heb je het geprobeerd?
[278.14 --> 279.22]  Ja, heel kort.
[279.54 --> 279.78]  En?
[279.86 --> 280.68]  Dat is ook echt grappig.
[280.80 --> 282.94]  Nou, niet echt onder de indruk.
[283.04 --> 283.36]  Maar wel...
[284.08 --> 286.36]  Kijk, ik dacht wel van oké...
[287.00 --> 289.90]  Want het nieuws is dus nu eigenlijk dat Bart is Gemini.
[289.90 --> 293.38]  En Gemini komt in drie smaken...
[293.38 --> 294.86]  Als ik kwam in drie smaken...
[294.86 --> 295.90]  Namelijk Nano...
[297.08 --> 297.98]  Die inmiddels weet ik niet meer.
[298.08 --> 298.82]  En dan Ultra.
[299.76 --> 301.86]  En nu is het Advanced geworden.
[302.20 --> 303.76]  Dat hele Ultra woord is weg.
[304.00 --> 304.86]  Het is echt een slecht behaal.
[304.88 --> 305.90]  Het is echt ongelooflijk.
[307.02 --> 307.04]  Maar goed, je moet...
[307.04 --> 307.90]  Het komt erop neer dat...
[308.56 --> 309.90]  Open AI heeft twee smaakjes...
[310.86 --> 312.14]  Voor de eind-eind gebruiker.
[312.32 --> 314.88]  Oftewel, als je niet betaalt, krijg je GPT 3,5.
[315.32 --> 316.62]  En als je wel betaalt, 4.
[317.18 --> 317.90]  En bij Google is het dan...
[318.60 --> 318.90]  Gemini...
[318.90 --> 320.42]  Ben ik vergeten...
[320.42 --> 321.50]  Of Gemini Advanced.
[321.62 --> 322.76]  Misschien is het wel gewoon Gemini.
[323.34 --> 323.66]  Niks.
[324.00 --> 325.28]  En dan Gemini Advanced.
[325.64 --> 326.68]  Nou, dat Advanced ding is...
[326.68 --> 328.36]  Daar wachten we al een tijdje op.
[328.40 --> 329.72]  Dat zou uitkomen begin dit jaar.
[329.80 --> 330.72]  Nou, dat is dus nu gebeurd.
[331.12 --> 333.68]  Dat is eigenlijk wat GPT 4 zou moeten kunnen vervangen...
[334.36 --> 336.62]  Binnen het Google-ecosysteem.
[337.04 --> 338.88]  En dat doet het op bepaalde vlakken.
[339.08 --> 340.34]  Maar op bepaalde vlakken ook niet.
[340.84 --> 341.12]  Dus...
[341.12 --> 343.16]  Wiets, laten we hier toch even bij stilstaan.
[343.74 --> 346.68]  Google heeft een on-par taalmodel...
[346.68 --> 349.30]  als GPT 4 uitgebracht.
[349.78 --> 351.72]  En jij doet daar nu een beetje...
[351.72 --> 352.12]  Een soort van...
[352.12 --> 352.64]  Ja, jeetje.
[352.64 --> 353.28]  Het verrast niet.
[353.82 --> 357.42]  Maar het scoort even goed als GPT 4.
[357.54 --> 359.84]  Hiermee is Google on-par met JetGPT.
[359.94 --> 360.88]  En dat zal niet lang duren.
[361.14 --> 361.28]  Maar...
[361.28 --> 363.66]  Dit is toch wel even een momentje.
[364.34 --> 365.42]  Nou, het is...
[365.42 --> 366.78]  We hebben het natuurlijk vorige keer ook gehad...
[366.78 --> 368.20]  over alle testjes die gedaan worden...
[368.20 --> 368.78]  en benchmarks.
[368.96 --> 369.84]  Daarop gaat het scoort...
[369.84 --> 370.52]  scoort het goed.
[370.98 --> 372.80]  In mijn eigen 10 minuutjes test...
[372.80 --> 373.76]  en dat is dan even...
[373.76 --> 374.92]  Want ik werk...
[374.92 --> 377.66]  veel momenten op de dag met JetGPT...
[377.66 --> 378.38]  omdat ik...
[378.38 --> 379.66]  programmeer samen met JetGPT.
[379.76 --> 379.90]  Ja.
[380.02 --> 380.68]  Dat is mijn mentor.
[380.96 --> 381.54]  Mijn maatje.
[381.78 --> 381.94]  Ja.
[382.10 --> 382.58]  En...
[382.58 --> 384.58]  Ik ging heel eventjes...
[384.58 --> 386.30]  Gemini Advanced gebruiken...
[386.30 --> 387.28]  als mijn programmeermaatje.
[387.34 --> 387.76]  Toen dacht ik...
[387.76 --> 387.98]  Nope.
[387.98 --> 389.30]  En dan kan ik dat voeren...
[389.30 --> 389.90]  dan heel snel.
[390.32 --> 392.16]  Dus ik denk dat er mensen zullen zijn...
[392.16 --> 392.88]  met use cases...
[392.88 --> 394.26]  die nu al beter werken...
[394.26 --> 395.14]  op Gemini Advanced.
[395.52 --> 396.34]  En mensen zoals ik...
[396.34 --> 396.90]  die dingen doen...
[396.90 --> 398.10]  die nog niet zo goed werken...
[398.10 --> 399.88]  als wat OpenAI kan.
[400.42 --> 400.90]  Maar...
[400.90 --> 401.70]  Wat ik begrijp...
[401.70 --> 403.24]  en het is natuurlijk nog niet zo heel lang uit...
[403.24 --> 404.12]  als we dit opnemen...
[404.12 --> 404.72]  maar...
[404.72 --> 406.08]  Wat ik begrijp is dat het inderdaad...
[406.08 --> 407.22]  slechter is in programmeren...
[407.22 --> 408.02]  dan JetGPT 4.
[408.32 --> 409.76]  Dat het beter is...
[409.76 --> 411.04]  in shit uitleggen.
[411.82 --> 412.26]  Explainers.
[413.00 --> 413.88]  En dat het...
[413.88 --> 415.22]  goed is in het...
[415.22 --> 416.96]  browsen van het internet.
[417.52 --> 418.42]  En het...
[418.42 --> 418.90]  bij...
[418.90 --> 420.52]  bij het antwoord trekken...
[420.52 --> 421.76]  van bijvoorbeeld...
[421.76 --> 422.84]  relevante plaatjes.
[423.32 --> 424.58]  Dus als er een...
[424.58 --> 425.94]  als jij een vraag stelt...
[425.94 --> 427.42]  waar een diagram...
[427.42 --> 429.12]  meer context biedt...
[429.12 --> 430.88]  dan is Gemini...
[430.88 --> 432.84]  erg goed in dat erbij geven.
[433.22 --> 434.56]  Beter dan JetGPT 4.
[434.86 --> 435.96]  Dan JetGPT 4.
[435.96 --> 438.64]  Ja, en ik denk...
[438.64 --> 440.78]  wat natuurlijk de grote vraag is...
[440.78 --> 442.24]  en dat weten we...
[442.24 --> 443.16]  met een maand of zes...
[443.16 --> 443.88]  denk ik of zo...
[443.88 --> 444.48]  met een jaar...
[444.48 --> 446.28]  kunnen we dat misschien echt zeggen...
[446.28 --> 447.90]  is Google nu...
[447.90 --> 449.32]  met hoestend en proestend...
[449.32 --> 450.58]  met een hoop zweet...
[450.58 --> 451.82]  en een hoop...
[451.82 --> 454.16]  extra redbulletjes...
[454.16 --> 455.32]  naast OpenAI...
[455.32 --> 456.50]  komen rennen in die race...
[456.50 --> 457.64]  en storten ze straks neer...
[457.64 --> 458.48]  want we hebben zoveel...
[458.48 --> 459.48]  moeten geven...
[459.48 --> 460.78]  dat kan helemaal niet.
[461.00 --> 461.66]  Nu zijn ze moe.
[462.24 --> 463.98]  Of is het eigenlijk andersom...
[463.98 --> 466.26]  was OpenAI al aan het hoesten en proesten...
[466.26 --> 467.48]  en rent Google straks...
[467.48 --> 468.76]  gewoon heel relaxed door...
[468.76 --> 470.08]  en was het inderdaad...
[470.08 --> 470.98]  een inhaalslag...
[470.98 --> 472.16]  en gaan ze er nu gewoon voorbij.
[472.50 --> 473.28]  Daar ben ik wel echt...
[473.28 --> 474.28]  heel erg nieuwsgierig naar...
[474.28 --> 476.38]  want ik kan het niet zo goed voorspellen...
[476.38 --> 476.82]  moet ik zeggen.
[477.26 --> 478.54]  OpenAI verbaast me...
[478.54 --> 479.76]  met dat ze nu iedere keer...
[479.76 --> 481.44]  toch weer vooruitlopen...
[481.44 --> 481.94]  en dan kan je zeggen...
[481.94 --> 483.26]  ja, maar zij waren toch de eerste...
[483.26 --> 484.48]  dat zegt gewoon niet zo heel erg veel.
[484.58 --> 485.50]  Sterker nog...
[485.50 --> 486.36]  er zijn genoeg boeken...
[486.36 --> 487.30]  over marktdynamieken...
[487.30 --> 487.64]  die zeggen...
[487.64 --> 488.72]  je moet niet de eerste zijn...
[488.72 --> 489.58]  want dan ga je als eerste...
[489.58 --> 490.86]  door de jungle met je zwaard...
[490.86 --> 492.14]  moet jij alles doorsnijden...
[492.14 --> 493.22]  en uiteindelijk lig jij op de grond...
[493.22 --> 494.22]  lopen ze over je rug heen...
[494.22 --> 495.28]  door jouw pad over je heen.
[495.64 --> 496.02]  En dus...
[496.02 --> 497.42]  het is niet altijd de beste...
[497.42 --> 498.98]  om de early mover te zijn.
[499.54 --> 499.90]  Dus...
[499.90 --> 502.78]  maar techniek en grote systemen...
[502.78 --> 504.06]  werken gewoon anders.
[504.40 --> 505.88]  Dat zie je ook met social media.
[506.10 --> 507.60]  Daar heb je zo'n enorm...
[507.60 --> 509.24]  voor mij heet het het Lindy effect of zo...
[509.24 --> 510.18]  dat het effect dat...
[510.18 --> 511.38]  als je eenmaal in een netwerk zit...
[511.38 --> 512.74]  kom je er eigenlijk gewoon niet meer uit bijna.
[512.84 --> 513.68]  Dat is heel veel waard.
[514.10 --> 515.32]  Daarom zijn de Facebook's...
[515.32 --> 516.42]  en de Twitter's gewoon niet...
[516.42 --> 517.74]  de X's niet verslagen op.
[517.74 --> 519.20]  Dus...
[519.20 --> 521.28]  ik ben heel benieuwd of dat...
[521.28 --> 523.70]  wat of hier in die nieuwe AI...
[523.70 --> 525.76]  wereld ook effecten zijn...
[525.76 --> 526.60]  die wij niet...
[526.60 --> 527.50]  nog niet kennen.
[527.96 --> 528.10]  Ja.
[528.10 --> 529.90]  Dat voelt voor mij dat ik denk...
[529.90 --> 531.00]  ik moet het nog maar zien...
[531.00 --> 531.56]  met open AI.
[532.16 --> 533.60]  Wat maakt ze nou echt uniek...
[533.60 --> 534.72]  behalve dat ze zo...
[534.72 --> 536.08]  zo'n goed team hebben zitten...
[536.08 --> 537.88]  waardevol, maar die kan je wegkopen...
[537.88 --> 538.94]  en dat ze vroeg waren.
[538.94 --> 539.00]  Ja.
[541.98 --> 542.52]  Ja, ik weet niet.
[542.64 --> 543.36]  Heel veel zintjes.
[543.74 --> 544.80]  En inderdaad...
[544.80 --> 545.86]  een extreem goed team.
[546.28 --> 546.96]  En...
[546.96 --> 548.56]  alle aandacht van de hele wereld.
[548.84 --> 549.32]  En...
[549.32 --> 550.48]  minder...
[550.48 --> 552.90]  minder reguleringsdrang...
[552.90 --> 553.86]  van overheden.
[554.50 --> 555.06]  En...
[555.06 --> 555.48]  ik kan wel...
[555.48 --> 556.74]  ik kan wel een eindje doorgaan hoor.
[556.90 --> 557.90]  Visionaire founder.
[558.32 --> 558.64]  Pitsen.
[559.08 --> 560.22]  In plaats van...
[560.22 --> 561.72]  in plaats van...
[561.72 --> 564.38]  een CEO die de hele tijd...
[564.38 --> 564.98]  ge...
[564.98 --> 567.60]  bekritiseerd wordt...
[567.60 --> 569.76]  omdat het geen oorlogstijd CEO zou zijn.
[570.60 --> 571.08]  Ja, jeetje.
[571.12 --> 572.12]  Je kan wel even doorgaan hoor.
[572.24 --> 573.96]  Kijk, daar tegenover staat...
[573.96 --> 574.44]  dat...
[574.44 --> 576.38]  waar we nog steeds op wachten...
[576.38 --> 578.44]  is dat dit geïntegreerd wordt in...
[578.44 --> 580.60]  in Drive...
[580.60 --> 582.76]  en in andere Google...
[582.76 --> 584.04]  producten in Gmail...
[584.04 --> 584.58]  fatsoenlijk.
[585.24 --> 586.94]  Zodat als jij vragen stelt...
[586.94 --> 588.80]  aan een soort van Omnibox...
[588.80 --> 589.76]  Gemini app...
[590.22 --> 591.00]  dus dat...
[591.00 --> 591.88]  Gemini app...
[591.88 --> 593.58]  er is nu een Android app...
[593.58 --> 594.58]  waar je Gemini...
[594.58 --> 596.04]  als spraakassistent kan aanspreken...
[596.04 --> 596.64]  en die dan ook...
[596.64 --> 597.64]  die dan ook de...
[597.64 --> 598.48]  de hoofdspraakassistent...
[598.48 --> 599.72]  van je Android telefoon wordt...
[599.72 --> 601.16]  dus die de Google Assistant overneemt.
[601.22 --> 602.78]  Ook weer zo awkward tweetsen...
[602.78 --> 603.52]  dat je dan...
[603.52 --> 604.34]  een schermpje krijgt...
[604.34 --> 605.40]  waar je dan moet kiezen...
[605.40 --> 606.34]  wil je nu praten met...
[606.34 --> 607.16]  Google Assistant...
[607.16 --> 608.02]  of wil je nu praten met...
[608.02 --> 608.82]  Gemini AI.
[609.00 --> 609.60]  Dus je echt denkt...
[609.60 --> 610.92]  oh fucking Google...
[610.92 --> 611.70]  get it together.
[611.84 --> 613.46]  Maar oké...
[613.46 --> 615.06]  Dat zijn twee teams intern...
[615.06 --> 616.06]  en niemand heeft nog gewonnen.
[616.26 --> 617.38]  Nee, en dan moet je even...
[617.38 --> 619.14]  een modalboxje maken...
[619.14 --> 620.42]  waarin de gebruiker...
[620.42 --> 621.08]  gaat kiezen...
[621.08 --> 621.92]  welke van de tweeën.
[621.92 --> 623.24]  Je kan ook niet alles...
[623.24 --> 623.86]  met Gemini doen.
[624.00 --> 624.84]  Dus voor sommige dingen...
[624.84 --> 625.36]  moet je dan weer...
[625.36 --> 626.50]  de Google Assistant gebruiken.
[626.58 --> 627.26]  Het is echt...
[627.26 --> 628.56]  hoe dan ook.
[628.64 --> 629.80]  Dit zal allemaal tijdelijk zijn...
[629.80 --> 631.50]  totdat we zijn op het moment...
[631.50 --> 632.30]  dat dit allemaal fatsoenlijk...
[632.30 --> 633.44]  met elkaar geïntegreerd is.
[633.44 --> 635.96]  en dan heb je een omnibox...
[635.96 --> 636.92]  waar je eindelijk...
[636.92 --> 638.22]  vragen aan kan gaan stellen...
[638.22 --> 639.72]  als...
[639.72 --> 640.22]  nou ja...
[640.22 --> 642.08]  het cliché is vaak voorbijgekomen...
[642.08 --> 642.96]  maar wat is de code...
[642.96 --> 645.50]  van de Airbnb lockerbox...
[645.50 --> 646.70]  en dat die dan in je Gmail...
[646.70 --> 647.30]  gaat opzoeken...
[647.30 --> 647.94]  naar het mailtje...
[647.94 --> 649.66]  wat je van je Airbnb host hebt gehad...
[649.66 --> 651.20]  waar dat antwoord in staat...
[651.20 --> 651.90]  en dat je dat gewoon...
[651.90 --> 654.14]  in die Gemini app...
[654.14 --> 655.22]  of Assistant...
[655.22 --> 656.46]  of wat dat dan ook is...
[656.46 --> 657.14]  kan vragen...
[657.14 --> 658.30]  en dat die je Gmail heeft doorzocht...
[658.30 --> 660.14]  daar kijk ik wel echt naar uit hoor...
[660.14 --> 660.64]  naar dat moment.
[660.72 --> 661.66]  Er zijn gewoon twee dingen...
[661.66 --> 662.94]  die de hele tijd erboven hangen.
[662.94 --> 663.72]  Eén is dit.
[663.88 --> 664.70]  Een soort van...
[664.70 --> 666.62]  één AI...
[666.62 --> 668.02]  toegangspoort...
[668.02 --> 669.00]  maakt me niet uit...
[669.00 --> 670.04]  wat de vorm is...
[670.04 --> 670.96]  laat het een app zijn...
[670.96 --> 671.76]  maar gewoon...
[671.76 --> 672.54]  geef me een app...
[672.54 --> 673.52]  die alles wat ik heb...
[673.52 --> 674.38]  doorzoekt...
[674.38 --> 676.76]  en daar dingen mee kan doen.
[676.96 --> 677.40]  Samenvatten...
[677.40 --> 678.06]  weet ik veel...
[678.06 --> 679.54]  informatie ophalen...
[679.54 --> 680.34]  maar uit mijn e-mail...
[680.34 --> 681.42]  uit mijn docs...
[681.42 --> 682.40]  uit mijn Slack...
[682.40 --> 682.68]  uit mijn...
[682.68 --> 683.76]  gewoon uit alles...
[683.76 --> 684.70]  voor consumenten...
[684.70 --> 686.02]  gewoon beschikbaar.
[686.22 --> 686.58]  Dat is één.
[686.94 --> 687.96]  En twee is...
[687.96 --> 689.58]  waar blijven die fucking agents?
[689.86 --> 691.12]  Waar blijft dat ding...
[691.12 --> 692.24]  wat voor mij...
[692.24 --> 693.12]  vliegtickets kan boeken.
[693.42 --> 694.30]  En het gaat mij niet om...
[694.30 --> 695.44]  dat ik vliegtickets moet boeken...
[695.44 --> 696.56]  want dat is helemaal niet punt...
[696.56 --> 697.38]  maar gewoon...
[697.38 --> 698.54]  een agent die op pad gaat.
[698.68 --> 700.24]  En dat is nu...
[701.60 --> 703.40]  heeft Sam Altman...
[703.40 --> 704.76]  in een recent interview...
[704.76 --> 705.30]  weer gezegd...
[705.30 --> 706.78]  dat OpenAI bezig is...
[706.78 --> 707.86]  met het bouwen van agents...
[707.86 --> 709.02]  die voor jou...
[709.02 --> 709.90]  het web opgaan...
[709.90 --> 711.58]  om dingen voor jou...
[711.58 --> 712.24]  uit te voeren.
[712.50 --> 713.24]  Dit hangt...
[713.24 --> 714.02]  boven de markt...
[714.02 --> 714.46]  weet je wel...
[714.46 --> 715.68]  en we weten dat Google...
[715.68 --> 716.46]  hiermee bezig is...
[716.46 --> 717.16]  want die hebben dit ook...
[717.16 --> 718.32]  al publiekelijk gezegd...
[718.32 --> 719.36]  en Microsoft...
[719.36 --> 720.58]  heeft ook publiekelijk...
[720.58 --> 721.18]  het gezegd...
[721.18 --> 721.80]  dus dit gaat...
[721.80 --> 723.28]  dit is de volgende...
[723.28 --> 724.16]  race...
[724.16 --> 724.98]  zeg maar...
[724.98 --> 725.66]  wie gaat de eerste agent...
[725.66 --> 727.06]  je bent Arc browser gebruiker toch?
[727.38 --> 727.72]  Klopt.
[728.24 --> 729.12]  Want die hadden nu met...
[729.12 --> 730.56]  dat is Arc 2 volgens mij...
[730.56 --> 732.34]  best wel een video erbij en zo...
[732.34 --> 733.70]  van een launch van...
[733.70 --> 734.90]  we gaan voor jou browsen.
[734.96 --> 735.90]  Zij gaan dit doen.
[735.90 --> 736.26]  Weet je wat jij beschrijft.
[736.62 --> 737.10]  Zij gaan...
[737.10 --> 737.90]  Ah, het was een...
[737.90 --> 739.14]  het is een video van wat ze...
[739.14 --> 739.84]  wat ze gaan doen...
[739.84 --> 740.82]  want voor de luisteraar...
[740.82 --> 741.88]  die de video niet heeft gezien...
[741.88 --> 743.42]  het is eigenlijk wat...
[743.42 --> 744.96]  Alexander eerder met Perplexity...
[744.96 --> 745.66]  al beschreef...
[745.66 --> 746.68]  en dat je ziet het er een beetje...
[746.68 --> 747.60]  naartoe bewegen nu...
[747.60 --> 748.28]  dat...
[748.28 --> 749.56]  dat interfaceje waar ik dit...
[749.56 --> 750.20]  begin van...
[750.20 --> 752.20]  van deze aflevering over had...
[752.20 --> 752.82]  van dat...
[752.82 --> 753.76]  dat soort van grijze...
[753.76 --> 754.48]  chat interfaceje...
[754.48 --> 755.70]  wat mensen die chat GPT...
[755.70 --> 757.24]  een keer geprobeerd hebben kennen...
[757.24 --> 759.26]  en waar nu Gemini...
[759.26 --> 760.76]  zo erg op lijkt...
[760.76 --> 762.20]  bij Perplexity...
[762.20 --> 763.62]  gaat dat al verder.
[763.70 --> 765.30]  En zie je al een soort V2 daarvan.
[765.38 --> 766.42]  Dat houdt in...
[766.42 --> 767.78]  dat als jij zoekt op een recept...
[767.78 --> 768.88]  dan toont die dat...
[768.88 --> 770.00]  op een handige manier...
[770.00 --> 771.34]  voor het lezen van een recept.
[771.48 --> 772.48]  Dus je krijgt niet alleen maar...
[772.48 --> 773.50]  tekst en plaatjes erbij...
[773.50 --> 774.16]  maar ook...
[774.16 --> 775.58]  dit is een recept...
[775.58 --> 776.96]  die moet je op een andere manier...
[776.96 --> 778.16]  weergeven dan een...
[778.16 --> 779.20]  stappenplan...
[779.20 --> 780.30]  om een sportoefening te doen.
[780.40 --> 780.74]  Nee, klopt.
[780.84 --> 781.64]  Dit doet Arc...
[781.64 --> 783.04]  dus een browser...
[783.04 --> 783.82]  die gemaakt is door...
[783.82 --> 785.48]  een onafhankelijke start-up...
[785.48 --> 786.30]  die je Chrome...
[786.30 --> 787.20]  of je Safari...
[787.20 --> 787.72]  of wat je dan ook...
[787.72 --> 788.54]  je browser is...
[788.54 --> 789.12]  vervangt.
[789.38 --> 790.82]  Zij hebben een mobiele app gemaakt...
[790.82 --> 792.26]  voor iOS alleen...
[792.26 --> 793.48]  die webpagina's...
[793.48 --> 794.48]  voor jou kan genereren.
[794.92 --> 795.64]  Die is uit.
[795.74 --> 796.50]  Die kun je proberen.
[796.58 --> 797.32]  Ga dat proberen...
[797.32 --> 798.26]  want dat is fantastisch.
[798.40 --> 800.28]  Je kan vragen stellen aan...
[800.28 --> 801.26]  het is een soort van...
[801.26 --> 801.94]  perplexity...
[801.94 --> 803.02]  maar dan gratis...
[803.02 --> 804.06]  en veel mooier...
[804.06 --> 804.76]  vormgegeven.
